record_id,dataset,query,role,baseline_top1_id,baseline_top1_name,baseline_score,baseline_flag,baseline_abs_label_from_top1_consistency_review,baseline_abs_certainty_from_top1_consistency_review,improved_top1_id,improved_top1_name,improved_score,improved_flag,pass1_baseline_label,pass1_improved_label,pass1_improvement_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_baseline_label,pass2_improved_label,pass2_improvement_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_baseline_label,pass3_improved_label,pass3_improvement_label,pass3_certainty,pass3_confidence,pass3_reason,final_baseline_consistency_label,final_improved_consistency_label,final_improvement_label,final_certainty,final_confidence,vote_agreement,uncertainty_tag,final_reason
0,corpus,Secondary visual cortex,llm_accept_top1,HOMBA:AA30822,dorsolateral extrastriate occipital cortex,0.8347,needs_review,ambiguous,low,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.7547,needs_review,broader_parent,aligned,improved_better,high,0.95,Improved directly names secondary visual cortex; baseline is broader extrastriate cortex.,broader_parent,partial_or_narrower,improved_better,high,0.9,"Baseline 'dorsolateral extrastriate occipital cortex' is broader (includes secondary visual cortex). Improved 'dorsal secondary visual cortex' is a specific part, thus partial/narrower. Improved is more specific and closer to the query than the broad parent, an improvement.",ambiguous,partial_or_narrower,no_material_change,medium,0.7,"Baseline is ambiguous (dorsolateral extrastriate occipital cortex could be broader or partial). Improved is dorsal secondary visual cortex, partial/narrower than the query. Both miss the full secondary visual cortex.",broader_parent,partial_or_narrower,improved_better,medium,0.85,2/3,majority_vote,"Improved directly names secondary visual cortex; baseline is broader extrastriate cortex. | Baseline 'dorsolateral extrastriate occipital cortex' is broader (includes secondary visual cortex). Improved 'dorsal secondary visual cortex' is a specific part, thus partial/narrower. Improved is more specific and closer to the query than the broad parent, an improvement. | Baseline is ambiguous (dorsolateral extrastriate occipital cortex could be broader or partial). Improved is dorsal secondary visual cortex, partial/narrower than the query. Both miss the full secondary visual cortex."
1,corpus,Superior parietal gyrus,llm_accept_top1,HOMBA:12131,parietal lobe,0.8771,needs_review,broader_parent,high,HOMBA:12133,superior parietal lobule (gyrus),0.7971,needs_review,broader_parent,aligned,improved_better,high,0.95,Improved is exact match for superior parietal gyrus; baseline is broader parietal lobe.,broader_parent,aligned,improved_better,high,0.98,Baseline 'parietal lobe' is a broader parent. Improved 'superior parietal lobule (gyrus)' exactly matches the query 'Superior parietal gyrus'. Clear improvement.,broader_parent,aligned,improved_better,high,0.95,"Improved candidate (superior parietal lobule/gyrus) directly matches the query, while baseline (parietal lobe) is too broad.",broader_parent,aligned,improved_better,high,0.96,3/3,stable,"Improved is exact match for superior parietal gyrus; baseline is broader parietal lobe. | Baseline 'parietal lobe' is a broader parent. Improved 'superior parietal lobule (gyrus)' exactly matches the query 'Superior parietal gyrus'. Clear improvement. | Improved candidate (superior parietal lobule/gyrus) directly matches the query, while baseline (parietal lobe) is too broad."
2,species,Anterior pituitary,llm_accept_top1,HOMBA:10505,pituitary body/gland (hypophysis),0.7081,needs_review,broader_parent,high,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),0.6281,needs_review,broader_parent,aligned,improved_better,high,0.95,Improved directly matches anterior pituitary; baseline is whole pituitary gland.,broader_parent,aligned,improved_better,high,0.98,Baseline 'pituitary body/gland' is a broader parent. Improved 'anterior lobe of pituitary body (adenohypophysis)' exactly matches 'Anterior pituitary'. Clear improvement.,broader_parent,aligned,improved_better,high,0.99,Improved (anterior lobe/adenohypophysis) is the exact match; baseline (pituitary gland) is the whole organ.,broader_parent,aligned,improved_better,high,0.9733,3/3,stable,Improved directly matches anterior pituitary; baseline is whole pituitary gland. | Baseline 'pituitary body/gland' is a broader parent. Improved 'anterior lobe of pituitary body (adenohypophysis)' exactly matches 'Anterior pituitary'. Clear improvement. | Improved (anterior lobe/adenohypophysis) is the exact match; baseline (pituitary gland) is the whole organ.
3,species,Basolateral Intermediate Amygdaloid Nucleus,llm_accept_top1,HOMBA:10366,basolateral nuclear group of amygdala,0.7408,needs_review,broader_parent,high,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6608,needs_review,broader_parent,partial_or_narrower,improved_better,low,0.6,Improved is specific basolateral nucleus but lacks 'intermediate'; baseline broader group.,broader_parent,aligned,improved_better,high,0.9,"Baseline is the parent nuclear group; improved is the specific basolateral nucleus, better matching query's 'intermediate' amygdala nucleus.",broader_parent,broader_parent,improved_better,high,0.8,"Query expects a subnucleus; baseline is nuclear group, improved is basolateral nucleus, which is closer but still broader than the intermediate subnucleus.",broader_parent,partial_or_narrower,improved_better,medium,0.7667,3/3,majority_vote+low_certainty,"Improved is specific basolateral nucleus but lacks 'intermediate'; baseline broader group. | Baseline is the parent nuclear group; improved is the specific basolateral nucleus, better matching query's 'intermediate' amygdala nucleus. | Query expects a subnucleus; baseline is nuclear group, improved is basolateral nucleus, which is closer but still broader than the intermediate subnucleus."
4,species,"Frontal orbital cortex, anterior",llm_accept_top1,HOMBA:10161,frontal cortex,0.7983,needs_review,broader_parent,high,HOMBA:10194,orbital frontal cortex,0.7184,needs_review,broader_parent,partial_or_narrower,improved_better,medium,0.8,"Improved orbital frontal cortex is closer than frontal cortex, but missing 'anterior'.",broader_parent,broader_parent,improved_better,high,0.85,"Baseline 'frontal cortex' is too broad; improved 'orbital frontal cortex' is a more specific region, but still lacks 'anterior' granularity.",broader_parent,broader_parent,improved_better,high,0.9,"Improved (orbital frontal cortex) is a more specific parent region than the baseline's frontal cortex, though both miss the 'anterior' qualifier.",broader_parent,broader_parent,improved_better,high,0.85,3/3,stable,"Improved orbital frontal cortex is closer than frontal cortex, but missing 'anterior'. | Baseline 'frontal cortex' is too broad; improved 'orbital frontal cortex' is a more specific region, but still lacks 'anterior' granularity. | Improved (orbital frontal cortex) is a more specific parent region than the baseline's frontal cortex, though both miss the 'anterior' qualifier."
5,species,Cuneate Gracile Nuclei,llm_accept_top1,HOMBA:12587,sensory relay nuclei in medulla oblongata,0.8052,needs_review,broader_parent,high,HOMBA:12592,gracile nucleus,0.7252,needs_review,broader_parent,partial_or_narrower,improved_worse,high,0.9,"Query expects both cuneate and gracile nuclei. Baseline broader_parent includes both; improved only gracile nucleus, missing cuneate.",broader_parent,partial_or_narrower,improved_worse,high,0.95,"Query is Cuneate+Gracile nuclei. Baseline is broader parent class. Improved only covers gracile, missing cuneate, so partial.",broader_parent,partial_or_narrower,improved_worse,high,0.95,"Baseline covers both cuneate and gracile nuclei as a broader class; improved only names gracile nucleus, missing cuneate.",broader_parent,partial_or_narrower,improved_worse,high,0.9333,3/3,stable,"Query expects both cuneate and gracile nuclei. Baseline broader_parent includes both; improved only gracile nucleus, missing cuneate. | Query is Cuneate+Gracile nuclei. Baseline is broader parent class. Improved only covers gracile, missing cuneate, so partial. | Baseline covers both cuneate and gracile nuclei as a broader class; improved only names gracile nucleus, missing cuneate."
6,species,Ventromedial occipital cortex,llm_accept_top1,HOMBA:10270,extrastriate occipital cortex,0.8636,needs_review,broader_parent,high,HOMBA:AA30826,ventromedial extrastriate occipital cortex,0.7836,needs_review,broader_parent,aligned,improved_better,high,0.95,Improved 'ventromedial extrastriate occipital cortex' matches query exactly; baseline is broader extrastriate.,broader_parent,aligned,improved_better,high,0.95,Query ventromedial occipital cortex. Baseline broader extrastriate occipital cortex. Improved exactly matches query.,broader_parent,aligned,improved_better,high,0.95,"Baseline extrastriate is a broader parent; improved adds ventromedial specificity, directly matching the query.",broader_parent,aligned,improved_better,high,0.95,3/3,stable,"Improved 'ventromedial extrastriate occipital cortex' matches query exactly; baseline is broader extrastriate. | Query ventromedial occipital cortex. Baseline broader extrastriate occipital cortex. Improved exactly matches query. | Baseline extrastriate is a broader parent; improved adds ventromedial specificity, directly matching the query."
7,species,Lateral Dorsal Thalamus,llm_accept_top1,HOMBA:10396,lateral dorsal nucleus of thalamus,0.8669,needs_review,aligned,high,HOMBA:10391,dorsal thalamus,0.9033,modifier_conflict,aligned,broader_parent,improved_worse,high,0.95,"Baseline 'lateral dorsal nucleus of thalamus' aligns with query; improved 'dorsal thalamus' is broader, loses lateral specificity.",aligned,broader_parent,improved_worse,high,0.95,Query Lateral Dorsal Thalamus. Baseline specific 'lateral dorsal nucleus' (aligned). Improved 'dorsal thalamus' is broader.,aligned,broader_parent,improved_worse,high,0.95,Baseline exactly names lateral dorsal nucleus; improved dorsal thalamus is a too-broad parent.,aligned,broader_parent,improved_worse,high,0.95,3/3,stable,"Baseline 'lateral dorsal nucleus of thalamus' aligns with query; improved 'dorsal thalamus' is broader, loses lateral specificity. | Query Lateral Dorsal Thalamus. Baseline specific 'lateral dorsal nucleus' (aligned). Improved 'dorsal thalamus' is broader. | Baseline exactly names lateral dorsal nucleus; improved dorsal thalamus is a too-broad parent."
8,species,Lateral Dorsal Tegmentum,llm_accept_top1,HOMBA:AA30457,lateral cell group of medulla tegmentum,0.5697,modifier_conflict,wrong,medium,HOMBA:AA30451,dorsal cell group of medulla tegmentum,0.5593,modifier_conflict,wrong,wrong,both_wrong,high,0.9,"Both candidates are medulla tegmentum cell groups; query 'Lateral Dorsal Tegmentum' likely pons/midbrain, not medulla.",partial_or_narrower,partial_or_narrower,no_material_change,medium,0.7,"Query 'Lateral Dorsal Tegmentum'. Baseline only 'lateral', improved only 'dorsal' cell group. Both partial; neither fully correct.",wrong,wrong,both_wrong,high,0.95,"Query likely means lateral dorsal tegmental nucleus (pontine); both candidates are medullary tegmentum structures, incorrect.",wrong,wrong,both_wrong,medium,0.85,2/3,majority_vote,"Both candidates are medulla tegmentum cell groups; query 'Lateral Dorsal Tegmentum' likely pons/midbrain, not medulla. | Query 'Lateral Dorsal Tegmentum'. Baseline only 'lateral', improved only 'dorsal' cell group. Both partial; neither fully correct. | Query likely means lateral dorsal tegmental nucleus (pontine); both candidates are medullary tegmentum structures, incorrect."
9,species,Ventroposterior Medial and Lateral Thalamus,llm_accept_top1,HOMBA:10420,ventral lateral nucleus of thalamus,0.588,modifier_conflict,wrong,high,HOMBA:10408,lateral posterior nucleus of thalamus,0.6275,modifier_conflict,wrong,wrong,both_wrong,high,0.9,Query targets ventroposterior medial/lateral thalamus; baseline ventral lateral and improved lateral posterior are anatomically incorrect.,wrong,wrong,both_wrong,medium,0.8,Query ventroposterior medial/lateral. Baseline 'ventral lateral' and improved 'lateral posterior' are different structures.,wrong,wrong,both_wrong,high,0.95,"Query refers to ventroposterior complex; baseline is ventral lateral, improved is lateral posterior, both wrong.",wrong,wrong,both_wrong,high,0.8833,3/3,stable,"Query targets ventroposterior medial/lateral thalamus; baseline ventral lateral and improved lateral posterior are anatomically incorrect. | Query ventroposterior medial/lateral. Baseline 'ventral lateral' and improved 'lateral posterior' are different structures. | Query refers to ventroposterior complex; baseline is ventral lateral, improved is lateral posterior, both wrong."
