dataset,query,role,review_reference_top1_id,impr_id,impr_name,impr_score,impr_flag,changed_vs_baseline,base_id,base_name,base_score,base_flag
corpus,Abducens nucleus,llm_accept_top1,HOMBA:12418,HOMBA:12418,abducens nucleus,1.0,high_confidence,,HOMBA:12418,abducens nucleus,1.0,high_confidence
corpus,Accessory facial nucleus,llm_accept_top1,HOMBA:12419,HOMBA:12419,accessory facial nucleus,1.0,high_confidence,,HOMBA:12419,accessory facial nucleus,1.0,high_confidence
corpus,Alveus,llm_accept_top1,HOMBA:10570,HOMBA:10570,alveus,1.0,high_confidence,,HOMBA:10570,alveus,1.0,high_confidence
corpus,Amygdala,llm_accept_top1,HOMBA:10361,HOMBA:10361,amygdaloid complex,1.0,high_confidence,,HOMBA:10361,amygdaloid complex,1.0,high_confidence
corpus,Angular gyrus,llm_accept_top1,HOMBA:12136,HOMBA:12136,angular gyrus,1.0,high_confidence,,HOMBA:12136,angular gyrus,1.0,high_confidence
corpus,Ansa lenticularis,llm_accept_top1,HOMBA:10571,HOMBA:10571,ansa lenticularis,1.0,high_confidence,,HOMBA:10571,ansa lenticularis,1.0,high_confidence
corpus,Anterior commissure,llm_accept_top1,HOMBA:10559,HOMBA:10559,anterior commissure,1.0,high_confidence,,HOMBA:10559,anterior commissure,1.0,high_confidence
corpus,Anterior thalamic nucleus,llm_accept_top1,HOMBA:10392,HOMBA:10392,anterior nuclear complex of thalamus,1.0,high_confidence,,HOMBA:10392,anterior nuclear complex of thalamus,1.0,high_confidence
corpus,Arcuate fasciculus,llm_accept_top1,HOMBA:10569,HOMBA:10569,arcuate fasciculus,1.0,high_confidence,,HOMBA:10569,arcuate fasciculus,1.0,high_confidence
corpus,Area 52,llm_accept_top1,HOMBA:10267,HOMBA:10267,parainsular cortex (area 52),1.0,high_confidence,,HOMBA:10267,parainsular cortex (area 52),1.0,high_confidence
corpus,Area postrema,llm_accept_top1,HOMBA:12807,HOMBA:12807,area postrema,1.0,high_confidence,,HOMBA:12807,area postrema,1.0,high_confidence
