dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check,review_record_id,source_file,source_row,pass1_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_label,pass3_certainty,pass3_confidence,pass3_reason,final_consistency_label,final_certainty,final_confidence,vote_agreement,has_vote_disagreement,vote_split_pattern,uncertainty_tag,final_reason,_category,_mechanism
corpus,Frontal eye field,needs_review,0.617023,HOMBA:AA30010,frontal eye field of premotor cortex,bm25+fuzzy,Frontal eye field,frontal eye field of premotor cortex,,1.0,frontal lobe,0.304528,,423,3_unresolved_correct.csv,2,aligned,high,0.98,Top1 is a more descriptive synonym for the frontal eye field.,aligned,high,0.95,Top1 is an expanded name for the same structure (frontal eye field).,aligned,high,0.9,Frontal eye field is synonymous with frontal eye field of premotor cortex; same anatomical structure.,aligned,high,0.9433,3/3,False,3-0,stable,Top1 is a more descriptive synonym for the frontal eye field. | Top1 is an expanded name for the same structure (frontal eye field). | Frontal eye field is synonymous with frontal eye field of premotor cortex; same anatomical structure.,A_effectively_correct,synonym/parent match (review-only flag)
corpus,Fundal superior temporal area,needs_review,0.623143,HOMBA:12139,temporal lobe,bm25+hierarchy_parent,Fundal superior temporal area,temporal lobe,,1.0,medial superior temporal area,0.615103,,424,3_unresolved_correct.csv,3,broader_parent,high,0.95,Query specifies a specific area within the temporal lobe; top1 is the broader temporal lobe.,broader_parent,high,0.95,Top1 returns the broader temporal lobe for a specific subarea.,broader_parent,medium,0.7,Fundal superior temporal area is a specific region within temporal lobe; top1 temporal lobe is a valid higher-order anatomical container but lacks specificity.,broader_parent,high,0.8667,3/3,False,3-0,stable,Query specifies a specific area within the temporal lobe; top1 is the broader temporal lobe. | Top1 returns the broader temporal lobe for a specific subarea. | Fundal superior temporal area is a specific region within temporal lobe; top1 temporal lobe is a valid higher-order anatomical container but lacks specificity.,A_effectively_correct,synonym/parent match (review-only flag)
corpus,Visual area V3,needs_review,0.624612,HOMBA:AA30824,"dorsal third visual area (V3D, V3)",bm25+fuzzy,visual cortex v3,dorsal third visual cortex v3,,1.0,sixth visual area,0.23572,,425,3_unresolved_correct.csv,4,partial_or_narrower,high,0.9,Query 'Visual area V3' is broader; top1 is a specific subdivision (dorsal third visual area) and not the whole V3.,aligned,high,0.95,Top1 is a synonym for V3; includes V3D and V3.,partial_or_narrower,high,0.9,"top1 is dorsal third visual area (V3D, V3), a dorsal subdivision of V3, not the full visual area V3 (which includes ventral V3).",partial_or_narrower,medium,0.9167,2/3,True,2-1,majority_vote,"Query 'Visual area V3' is broader; top1 is a specific subdivision (dorsal third visual area) and not the whole V3. | Top1 is a synonym for V3; includes V3D and V3. | top1 is dorsal third visual area (V3D, V3), a dorsal subdivision of V3, not the full visual area V3 (which includes ventral V3).",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Olfactory cortex,needs_review,0.640353,HOMBA:11371,olfactory division of entorhinal cortex,bm25+fuzzy,Olfactory cortex,olfactory division of entorhinal cortex,,1.0,olfactory tubercle,0.27741,,426,3_unresolved_correct.csv,5,partial_or_narrower,high,0.9,Query 'Olfactory cortex' is a broader region; top1 'olfactory division of entorhinal cortex' is a specific subdivision.,partial_or_narrower,medium,0.75,"Top1 is a specific subdivision (olfactory division of entorhinal cortex), narrower than general olfactory cortex.",partial_or_narrower,high,0.85,"top1 is olfactory division of entorhinal cortex, a small subregion within the broader olfactory cortex; too narrow for the query.",partial_or_narrower,high,0.8333,3/3,False,3-0,stable,"Query 'Olfactory cortex' is a broader region; top1 'olfactory division of entorhinal cortex' is a specific subdivision. | Top1 is a specific subdivision (olfactory division of entorhinal cortex), narrower than general olfactory cortex. | top1 is olfactory division of entorhinal cortex, a small subregion within the broader olfactory cortex; too narrow for the query.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Middle occipital gyrus,needs_review,0.643905,HOMBA:12148,occipital lobe,bm25+fuzzy+hierarchy_parent,Middle occipital gyrus,occipital lobe,,1.0,middle ectosylvian gyrus,0.576258,,427,3_unresolved_correct.csv,6,broader_parent,high,0.95,"Query 'Middle occipital gyrus' is a gyrus within the top1 'occipital lobe', which is a broader anatomical parent.",broader_parent,high,0.95,Occipital lobe is the broader parent structure containing the middle occipital gyrus.,broader_parent,high,0.95,"top1 is occipital lobe, the parent anatomical structure that contains the middle occipital gyrus; correct but broader.",broader_parent,high,0.95,3/3,False,3-0,stable,"Query 'Middle occipital gyrus' is a gyrus within the top1 'occipital lobe', which is a broader anatomical parent. | Occipital lobe is the broader parent structure containing the middle occipital gyrus. | top1 is occipital lobe, the parent anatomical structure that contains the middle occipital gyrus; correct but broader.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Medial insular area,needs_review,0.649001,HOMBA:AA30006,medial division of orbitofrontal insular cortex,bm25+fuzzy,Medial insular area,medial division of orbitofrontal insular cortex,medial,1.0,fastigial (medial) nucleus,0.374934,,428,3_unresolved_correct.csv,7,partial_or_narrower,medium,0.7,"Top1 'medial division of orbitofrontal insular cortex' is a specific subdivision that may partially correspond to 'medial insular area', but adds 'orbitofrontal' which is not explicit in query.",aligned,medium,0.7,Medial division of orbitofrontal insular cortex likely corresponds to medial insular area.,partial_or_narrower,medium,0.7,"top1 is medial division of orbitofrontal insular cortex, a specific subregion of the insula; likely a narrower component of the more general 'medial insular area'.",partial_or_narrower,medium,0.7,2/3,True,2-1,majority_vote,"Top1 'medial division of orbitofrontal insular cortex' is a specific subdivision that may partially correspond to 'medial insular area', but adds 'orbitofrontal' which is not explicit in query. | Medial division of orbitofrontal insular cortex likely corresponds to medial insular area. | top1 is medial division of orbitofrontal insular cortex, a specific subregion of the insula; likely a narrower component of the more general 'medial insular area'.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Visual area V6,needs_review,0.660445,HOMBA:267499151,"sixth visual area V6 , part A",bm25+fuzzy,visual cortex v6,sixth visual cortex v6 part a,,1.0,sixth visual area,0.636783,,429,3_unresolved_correct.csv,8,partial_or_narrower,high,0.95,"Query 'Visual area V6' is general; top1 'sixth visual area V6, part A' is a specific part of V6.",partial_or_narrower,high,0.95,"Top1 is a subpart (part A) of V6, narrower than the general V6 query.",partial_or_narrower,high,0.9,"top1 is sixth visual area V6, part A (V6A), a distinct component of the V6 complex, not the whole visual area V6.",partial_or_narrower,high,0.9333,3/3,False,3-0,stable,"Query 'Visual area V6' is general; top1 'sixth visual area V6, part A' is a specific part of V6. | Top1 is a subpart (part A) of V6, narrower than the general V6 query. | top1 is sixth visual area V6, part A (V6A), a distinct component of the V6 complex, not the whole visual area V6.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Temporal occipital fusiform cortex,needs_review,0.674326,HOMBA:13324,ventrolateral temporal cortex,bm25+hierarchy_parent,Temporal occipital fusiform cortex,ventrolateral temporal cortex,,1.0,temporal cortex,0.61694,,430,3_unresolved_correct.csv,9,partial_or_narrower,high,0.9,"Top1 is ventrolateral temporal cortex, which does not include occipital or fusiform parts of the query compound region.",wrong,medium,0.7,"Query 'Temporal occipital fusiform cortex' is a specific fusiform region spanning temporal and occipital lobes, but top1 'ventrolateral temporal cortex' is a different lateral temporal area, not an accepted synonym or parent.",broader_parent,high,0.9,Fusiform cortex is part of the ventrolateral temporal cortex; top1 is the correct anatomical parent region.,no_consensus,low,0.8333,1/3,True,1-1-1,split_vote,"Top1 is ventrolateral temporal cortex, which does not include occipital or fusiform parts of the query compound region. | Query 'Temporal occipital fusiform cortex' is a specific fusiform region spanning temporal and occipital lobes, but top1 'ventrolateral temporal cortex' is a different lateral temporal area, not an accepted synonym or parent. | Fusiform cortex is part of the ventrolateral temporal cortex; top1 is the correct anatomical parent region.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Parietal opercular cortex,needs_review,0.697975,HOMBA:10208,parietal cortex,bm25+fuzzy+hierarchy_parent,Parietal opercular cortex,parietal cortex,,1.0,parietal lobe,0.645648,,431,3_unresolved_correct.csv,10,broader_parent,high,0.95,"Top1 'parietal cortex' is broader than the query 'parietal opercular cortex', which is a subregion.",broader_parent,high,0.95,Query 'Parietal opercular cortex' is a subdivision of the parietal cortex; top1 'parietal cortex' is the valid anatomical parent.,broader_parent,high,0.95,Parietal opercular cortex is a subdivision of the parietal cortex; top1 is the broader parent lobe.,broader_parent,high,0.95,3/3,False,3-0,stable,"Top1 'parietal cortex' is broader than the query 'parietal opercular cortex', which is a subregion. | Query 'Parietal opercular cortex' is a subdivision of the parietal cortex; top1 'parietal cortex' is the valid anatomical parent. | Parietal opercular cortex is a subdivision of the parietal cortex; top1 is the broader parent lobe.",A_effectively_correct,synonym/parent match (review-only flag)
corpus,Anterior pulvinar,needs_review,0.7009,HOMBA:10409,pulvinar of thalamus,bm25+fuzzy+hierarchy_parent,anterior pulvinar of thalamus,pulvinar of thalamus,,1.0,rostral division of pulvinar,0.665213,,432,3_unresolved_correct.csv,11,broader_parent,high,0.95,"Top1 'pulvinar of thalamus' is broader than 'anterior pulvinar', which is a subdivision.",broader_parent,high,0.95,Query 'Anterior pulvinar' specifies a subregion; top1 'pulvinar of thalamus' is the correct parent structure.,broader_parent,high,0.9,"Anterior pulvinar is a part of the pulvinar of thalamus; top1 is the whole nucleus, a broader parent.",broader_parent,high,0.9333,3/3,False,3-0,stable,"Top1 'pulvinar of thalamus' is broader than 'anterior pulvinar', which is a subdivision. | Query 'Anterior pulvinar' specifies a subregion; top1 'pulvinar of thalamus' is the correct parent structure. | Anterior pulvinar is a part of the pulvinar of thalamus; top1 is the whole nucleus, a broader parent.",A_effectively_correct,synonym/parent match (review-only flag)
