dataset,query,top_homba_id,top_name,score,methods,final_label,pass1_label,pass3_label,pass3_reason,top3
corpus,Lenticular nucleus (pallidum),HOMBA:10342,globus pallidus (paleostriatum),1.0,bm25+exact+fuzzy,aligned,aligned,partial_or_narrower,"Query names lenticular nucleus with pallidum parenthetical; top1 is only the globus pallidus subdivision, not the full lenticular complex.","[{""homba_id"": ""HOMBA:10342"", ""name"": ""globus pallidus (paleostriatum)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10338"", ""name"": ""putamen (lateroventral division of the CP)"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10343"", ""name"": ""external division of globus pallidus"", ""score"": 0.85913, ""methods"": ""bm25+fuzzy""}]"
corpus,Intracalcarine cortex (inferior),HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,bm25+exact+fuzzy+hierarchy_parent,broader_parent,broader_parent,broader_parent,Intracalcarine cortex is a subregion of the primary visual cortex; top1 is the correct broader parent.,"[{""homba_id"": ""HOMBA:10269"", ""name"": ""primary visual cortex (first visual cortex, striate cortex, area 17, area OC)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:146034690"", ""name"": ""area x of visual cortex"", ""score"": 0.74, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30822"", ""name"": ""dorsolateral extrastriate occipital cortex"", ""score"": 0.71, ""methods"": ""hierarchy_parent""}]"
corpus,Cuneal cortex,HOMBA:12150,cuneus (gyrus),1.0,bm25+exact+fuzzy,aligned,aligned,aligned,"Cuneal cortex is the cortical sheet of the cuneus; top1 cuneus (gyrus) is a direct anatomical correspondence, used synonymously.","[{""homba_id"": ""HOMBA:12150"", ""name"": ""cuneus (gyrus)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30018"", ""name"": ""posterior limiting parietal cortex"", ""score"": 0.46, ""methods"": ""hierarchy_parent""}, {""homba_id"": ""HOMBA:10161"", ""name"": ""frontal cortex"", ""score"": 0.453755, ""methods"": ""bm25+fuzzy+hierarchy_parent""}]"
corpus,Central opercular cortex (anterior),HOMBA:10288,major insular cortex,0.88,bm25+exact+fuzzy,wrong,wrong,wrong,"Central opercular cortex is part of the operculum, not the insula; major insular cortex is anatomically different.","[{""homba_id"": ""HOMBA:10288"", ""name"": ""major insular cortex"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10290"", ""name"": ""granular insular cortex (area Ig)"", ""score"": 0.643867, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10328"", ""name"": ""agranular insular cortex (area Iag)"", ""score"": 0.641667, ""methods"": ""bm25+fuzzy""}]"
corpus,Central opercular cortex (posterior),HOMBA:10288,major insular cortex,0.88,bm25+exact+fuzzy,wrong,wrong,wrong,"Central opercular cortex (posterior) is opercular, not insular; major insular cortex is anatomically different.","[{""homba_id"": ""HOMBA:10288"", ""name"": ""major insular cortex"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10290"", ""name"": ""granular insular cortex (area Ig)"", ""score"": 0.643867, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10328"", ""name"": ""agranular insular cortex (area Iag)"", ""score"": 0.641667, ""methods"": ""bm25+fuzzy""}]"
corpus,Lateral occipital cortex (inferior),HOMBA:12153,inferior occipital gyrus,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,"Inferior lateral occipital cortex corresponds anatomically to the inferior occipital gyrus, a direct match in this parcellation.","[{""homba_id"": ""HOMBA:12153"", ""name"": ""inferior occipital gyrus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30024"", ""name"": ""lateral temporal-occipital cortex (area 37l, area TEO)"", ""score"": 0.730712, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12154"", ""name"": ""superior occipital gyrus"", ""score"": 0.565817, ""methods"": ""bm25+fuzzy""}]"
corpus,Lateral occipital cortex (superior),HOMBA:12154,superior occipital gyrus,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,Superior occipital gyrus is the specific gyrus for the superior part of lateral occipital cortex. Aligned.,"[{""homba_id"": ""HOMBA:12154"", ""name"": ""superior occipital gyrus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12153"", ""name"": ""inferior occipital gyrus"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30024"", ""name"": ""lateral temporal-occipital cortex (area 37l, area TEO)"", ""score"": 0.730712, ""methods"": ""bm25+fuzzy""}]"
corpus,Precuneal cortex,HOMBA:12137,precuneaus (gyrus),1.0,bm25+exact+fuzzy,aligned,aligned,aligned,Precuneus (gyrus) is the same structure as precuneal cortex; minor spelling variant (precuneaus).,"[{""homba_id"": ""HOMBA:12137"", ""name"": ""precuneaus (gyrus)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30018"", ""name"": ""posterior limiting parietal cortex"", ""score"": 0.46, ""methods"": ""hierarchy_parent""}, {""homba_id"": ""HOMBA:10208"", ""name"": ""parietal cortex"", ""score"": 0.434972, ""methods"": ""bm25+fuzzy+hierarchy_parent""}]"
corpus,Supracalcarine cortex,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,bm25+exact+fuzzy+hierarchy_parent,broader_parent,wrong,broader_parent,Supracalcarine cortex is a superior subdivision of the primary visual cortex; top1 is the correct broader parent.,"[{""homba_id"": ""HOMBA:10269"", ""name"": ""primary visual cortex (first visual cortex, striate cortex, area 17, area OC)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:146034690"", ""name"": ""area x of visual cortex"", ""score"": 0.7525, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30822"", ""name"": ""dorsolateral extrastriate occipital cortex"", ""score"": 0.7225, ""methods"": ""hierarchy_parent""}]"
corpus,Temporal frontal cortex (posterior),HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),1.0,bm25+exact+fuzzy,wrong,wrong,source_or_ontology_issue,Query 'Temporal frontal cortex (posterior)' is anatomically contradictory; likely a typo for 'posterior frontal cortex'. Top1 matches the intended meaning but query is unreliable.,"[{""homba_id"": ""HOMBA:AA30009"", ""name"": ""frontal motor cortex (posterior frontal cortex)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10243"", ""name"": ""caudal division of area 22"", ""score"": 0.695904, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10163"", ""name"": ""primary motor cortex (first motor cortex, area 4, area FA)"", ""score"": 0.680533, ""methods"": ""bm25+fuzzy""}]"
corpus,Anterior intraparietal area,HOMBA:10620,intraparietal sulcus,1.0,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,"Anterior intraparietal area lies within the intraparietal sulcus; top1 is the entire sulcus, a broader container.","[{""homba_id"": ""HOMBA:10620"", ""name"": ""intraparietal sulcus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:267498979"", ""name"": ""lateral subdivision of area 7"", ""score"": 0.461782, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30022"", ""name"": ""temporoparietal area (containing area FST)"", ""score"": 0.386515, ""methods"": ""fuzzy""}]"
corpus,Posterior insular area,HOMBA:12177,long insular gyri,1.0,bm25+exact+fuzzy,aligned,aligned,broader_parent,"Posterior insular area is part of the long insular gyri; top1 refers to the whole group, broader.","[{""homba_id"": ""HOMBA:12177"", ""name"": ""long insular gyri"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12176"", ""name"": ""insular lobe"", ""score"": 0.97, ""methods"": ""bm25+hierarchy_parent""}, {""homba_id"": ""HOMBA:12178"", ""name"": ""short insular gyri"", ""score"": 0.509913, ""methods"": ""bm25+fuzzy""}]"
corpus,Anterior ventral insular area,HOMBA:10328,agranular insular cortex (area Iag),1.0,bm25+exact+fuzzy,aligned,ambiguous,aligned,Agranular insular cortex is the cytoarchitectonic area corresponding to anterior ventral insular area.,"[{""homba_id"": ""HOMBA:10328"", ""name"": ""agranular insular cortex (area Iag)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10288"", ""name"": ""major insular cortex"", ""score"": 0.8342, ""methods"": ""bm25+hierarchy_parent""}, {""homba_id"": ""HOMBA:10329"", ""name"": ""agranular frontal insular cortex (area FI)"", ""score"": 0.629233, ""methods"": ""bm25+fuzzy""}]"
species,Anterior Thalamus,HOMBA:10392,anterior nuclear complex of thalamus,1.0,bm25+exact+fuzzy,aligned,aligned,partial_or_narrower,"Anterior Thalamus likely refers to the anterior region of thalamus; top1 (anterior nuclear complex) is a major component but not the entire anterior thalamus, so narrower.","[{""homba_id"": ""HOMBA:10392"", ""name"": ""anterior nuclear complex of thalamus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10391"", ""name"": ""dorsal thalamus"", ""score"": 0.97, ""methods"": ""hierarchy_parent""}, {""homba_id"": ""HOMBA:10442"", ""name"": ""intralaminar nuclear complex of thalamus"", ""score"": 0.653076, ""methods"": ""bm25+fuzzy""}]"
species,Central Gray Nucleus,HOMBA:12209,periaqueductal gray substance,1.0,bm25+exact+fuzzy+hierarchy_parent,aligned,aligned,aligned,Central gray nucleus is a common synonym for the periaqueductal gray substance.,"[{""homba_id"": ""HOMBA:12209"", ""name"": ""periaqueductal gray substance"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:12215"", ""name"": ""periaqueductal gray substance, pleioglial division"", ""score"": 0.69021, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12211"", ""name"": ""periaqueductal gray substance,dorsomedial division"", ""score"": 0.684292, ""methods"": ""bm25+fuzzy""}]"
species,"Central opercular cortex, anterior",HOMBA:10288,major insular cortex,1.0,bm25+exact+fuzzy+hierarchy_parent,wrong,wrong,wrong,"Central opercular cortex, anterior is opercular, not insular; major insular cortex is anatomically different.","[{""homba_id"": ""HOMBA:10288"", ""name"": ""major insular cortex"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:10328"", ""name"": ""agranular insular cortex (area Iag)"", ""score"": 0.729167, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10289"", ""name"": ""dysgranular insular cortex (area Idg)"", ""score"": 0.697917, ""methods"": ""bm25+fuzzy+hierarchy_parent""}]"
species,"Central opercular cortex, posterior",HOMBA:10288,major insular cortex,0.88,bm25+exact+fuzzy,wrong,wrong,wrong,"Central opercular cortex, posterior is opercular, not insular; major insular cortex is anatomically different.","[{""homba_id"": ""HOMBA:10288"", ""name"": ""major insular cortex"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10290"", ""name"": ""granular insular cortex (area Ig)"", ""score"": 0.643867, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10328"", ""name"": ""agranular insular cortex (area Iag)"", ""score"": 0.641667, ""methods"": ""bm25+fuzzy""}]"
species,Cerebellar Lobule 3 Intermediate,HOMBA:12841,"lobule III (central lobule and wing, posterior part)",1.0,bm25+exact+fuzzy,broader_parent,aligned,broader_parent,Lobule III is the parent cerebellar region; 'Intermediate' specifies a subdivision not represented in the top1 term.,"[{""homba_id"": ""HOMBA:12841"", ""name"": ""lobule III (central lobule and wing, posterior part)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30383"", ""name"": ""lobule III (central lobule, caudal part)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30390"", ""name"": ""lobule III (wing of central lobule, caudal part)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}]"
species,"Intracalcarine cortex, inferior",HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,bm25+exact+fuzzy+hierarchy_parent,broader_parent,broader_parent,broader_parent,"Intracalcarine cortex, inferior is the inferior bank of the calcarine fissure, entirely part of primary visual cortex; top1 is the correct higher-order parent region.","[{""homba_id"": ""HOMBA:10269"", ""name"": ""primary visual cortex (first visual cortex, striate cortex, area 17, area OC)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:146034690"", ""name"": ""area x of visual cortex"", ""score"": 0.74, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30822"", ""name"": ""dorsolateral extrastriate occipital cortex"", ""score"": 0.71, ""methods"": ""hierarchy_parent""}]"
species,"Intracalcarine cortex, superior",HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,bm25+exact+fuzzy+hierarchy_parent,broader_parent,broader_parent,broader_parent,"Intracalcarine cortex, superior is the superior bank of the calcarine fissure, entirely part of primary visual cortex; top1 is the correct higher-order parent region.","[{""homba_id"": ""HOMBA:10269"", ""name"": ""primary visual cortex (first visual cortex, striate cortex, area 17, area OC)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:146034690"", ""name"": ""area x of visual cortex"", ""score"": 0.74, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30822"", ""name"": ""dorsolateral extrastriate occipital cortex"", ""score"": 0.71, ""methods"": ""hierarchy_parent""}]"
species,"Lateral parietal cortex, superior",HOMBA:12133,superior parietal lobule (gyrus),0.88,bm25+exact+fuzzy,aligned,aligned,aligned,Superior parietal lobule constitutes the superior part of the lateral parietal cortex.,"[{""homba_id"": ""HOMBA:12133"", ""name"": ""superior parietal lobule (gyrus)"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10215"", ""name"": ""superior medial parietal cortex"", ""score"": 0.639812, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10225"", ""name"": ""inferior lateral parietal cortex"", ""score"": 0.453451, ""methods"": ""bm25""}]"
species,Medial Dorsal Tegmentum,HOMBA:12508,dorsal tegmental nucleus,1.0,bm25+exact+fuzzy,partial_or_narrower,partial_or_narrower,partial_or_narrower,Medial dorsal tegmentum is a region; the dorsal tegmental nucleus is a specific nucleus within that region.,"[{""homba_id"": ""HOMBA:12508"", ""name"": ""dorsal tegmental nucleus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12509"", ""name"": ""dorsal tegmental nucleus, central division"", ""score"": 0.835653, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12510"", ""name"": ""dorsal tegmental nucleus, pericentral division"", ""score"": 0.788191, ""methods"": ""bm25+fuzzy""}]"
species,Mesencephalic Reticular Formation,HOMBA:12239,midbrain reticular formation,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,Mesencephalic is synonymous with midbrain; both refer to the same reticular formation.,"[{""homba_id"": ""HOMBA:12239"", ""name"": ""midbrain reticular formation"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:15547"", ""name"": ""isthmic reticular formation"", ""score"": 0.777888, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12616"", ""name"": ""medullary reticular formation in  medulla oblongata"", ""score"": 0.764707, ""methods"": ""bm25+fuzzy""}]"
species,Mircrocellular Tegmentum,HOMBA:12281,microcellular tegmental nucleus,1.0,bm25+exact+fuzzy,aligned,aligned,source_or_ontology_issue,"Query 'Mircrocellular Tegmentum' appears misspelled ('microcellular'?); unclear if it corresponds to the specific microcellular tegmental nucleus, likely a source artifact.","[{""homba_id"": ""HOMBA:12281"", ""name"": ""microcellular tegmental nucleus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12282"", ""name"": ""paracollicular tegmentum"", ""score"": 0.556022, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12195"", ""name"": ""midbrain tegmentum"", ""score"": 0.505884, ""methods"": ""bm25+fuzzy""}]"
species,Posterior interstitial nucleus of the anterior commissure,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),1.0,bm25+exact+fuzzy,aligned,aligned,aligned,Both designate the interstitial nucleus associated with the posterior limb of the anterior commissure; top1 provides more anatomical detail but matches the query.,"[{""homba_id"": ""HOMBA:10388"", ""name"": ""interstitial nucleus of posterior limb of anterior commissure (fundus of striatum)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12194"", ""name"": ""interstitial nucleus of posterior commissure (nucleus of posterior commissure)"", ""score"": 0.956666, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12279"", ""name"": ""magnocellular nucleus of posterior commissure"", ""score"": 0.433054, ""methods"": ""bm25""}]"
species,Retro-mammillary nucleus,HOMBA:13073,retromammillary area,1.0,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,"Query targets a specific 'nucleus', while top1 is the broader 'retromammillary area' that contains it; not wrong but less specific.","[{""homba_id"": ""HOMBA:13073"", ""name"": ""retromammillary area"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10498"", ""name"": ""mammillary nuclear complex"", ""score"": 0.856667, ""methods"": ""bm25+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:10495"", ""name"": ""mammillary (posterior) region of HTH"", ""score"": 0.8342, ""methods"": ""bm25+hierarchy_parent""}]"
species,"Supratemporal plane, anterior",HOMBA:12147,planum polare,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,The anterior supratemporal plane is planum polare; top1 directly names that subdivision.,"[{""homba_id"": ""HOMBA:12147"", ""name"": ""planum polare"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12145"", ""name"": ""planum temporale"", ""score"": 0.430493, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10318"", ""name"": ""lateral (rostral) entorhinal cortex"", ""score"": 0.363611, ""methods"": ""bm25+fuzzy""}]"
species,"Supratemporal plane, posterior",HOMBA:12145,planum temporale,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,The posterior supratemporal plane is planum temporale; top1 directly names that subdivision.,"[{""homba_id"": ""HOMBA:12145"", ""name"": ""planum temporale"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12147"", ""name"": ""planum polare"", ""score"": 0.211433, ""methods"": ""bm25""}, {""homba_id"": ""HOMBA:10567"", ""name"": ""posterior commissure"", ""score"": 0.209093, ""methods"": ""bm25""}]"
species,Ventroposterior inferior thalamic nucleus,HOMBA:10426,ventral posterior inferior nucleus,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,Direct synonym: 'Ventroposterior inferior thalamic nucleus' is the ventral posterior inferior nucleus; 'thalamic' is implicit in the HOMBA term.,"[{""homba_id"": ""HOMBA:10426"", ""name"": ""ventral posterior inferior nucleus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10423"", ""name"": ""ventral posterior nuclear complex of thalamus"", ""score"": 0.8342, ""methods"": ""bm25+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:AA30274"", ""name"": ""dorsal midline nuclei of thalamus"", ""score"": 0.651074, ""methods"": ""hierarchy_parent""}]"
species,Ventroposterior Inferior Thalamus,HOMBA:10426,ventral posterior inferior nucleus,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,"'Ventroposterior Inferior Thalamus' is a common variant naming the same nucleus; 'thalamus' contextual, not a broader region.","[{""homba_id"": ""HOMBA:10426"", ""name"": ""ventral posterior inferior nucleus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10423"", ""name"": ""ventral posterior nuclear complex of thalamus"", ""score"": 0.8342, ""methods"": ""bm25+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:AA30282"", ""name"": ""lateroposterior-pulvinar complex"", ""score"": 0.530569, ""methods"": ""fuzzy+hierarchy_parent""}]"
species,Ventroposterior medial and lateral thalamic nuclei,HOMBA:10423,ventral posterior nuclear complex of thalamus,0.88,bm25+exact+fuzzy,broader_parent,broader_parent,aligned,"Query naming both VPM and VPL together aligns with the ventral posterior nuclear complex, which is their parent grouping.","[{""homba_id"": ""HOMBA:10423"", ""name"": ""ventral posterior nuclear complex of thalamus"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:11515"", ""name"": ""medial subdivision of LaV"", ""score"": 0.699807, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10420"", ""name"": ""ventral lateral nucleus of thalamus"", ""score"": 0.670491, ""methods"": ""bm25+fuzzy""}]"
species,Ventroposterior Medial and Lateral Thalamus,HOMBA:10423,ventral posterior nuclear complex of thalamus,0.88,bm25+exact+fuzzy,broader_parent,broader_parent,aligned,Same as record 4002: 'Medial and Lateral Thalamus' together correspond to the ventral posterior complex.,"[{""homba_id"": ""HOMBA:10423"", ""name"": ""ventral posterior nuclear complex of thalamus"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10406"", ""name"": ""lateral nuclear complex of thalamus"", ""score"": 0.711179, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10397"", ""name"": ""medial nuclear complex of thalamus"", ""score"": 0.691827, ""methods"": ""bm25+fuzzy""}]"
