dataset,query,role,baseline_top1_id,baseline_top1_name,baseline_flag,improved_top1_id,improved_top1_name,improved_flag,deepseek_label,deepseek_confidence,deepseek_reason,review_risk_bucket
corpus,Secondary visual cortex,llm_accept_top1,HOMBA:AA30822,dorsolateral extrastriate occipital cortex,needs_review,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",needs_review,improved_better,0.8,"Improved candidate directly includes 'secondary visual cortex' and area 18, matching the query more precisely than the baseline term 'dorsolateral extrastriate occipital cortex', which is broader.",improved
corpus,Superior parietal gyrus,llm_accept_top1,HOMBA:12131,parietal lobe,needs_review,HOMBA:12133,superior parietal lobule (gyrus),needs_review,improved_better,0.9,"Improved candidate 'superior parietal lobule (gyrus)' is more specific and matches query 'Superior parietal gyrus' exactly, while baseline 'parietal lobe' is a broader region.",improved
species,Anterior pituitary,llm_accept_top1,HOMBA:10505,pituitary body/gland (hypophysis),needs_review,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),needs_review,improved_better,0.95,"Query 'Anterior pituitary' specifically refers to the anterior lobe (adenohypophysis), not the whole pituitary gland. Improved candidate is more specific and correct.",improved
species,Basolateral Intermediate Amygdaloid Nucleus,llm_accept_top1,HOMBA:10366,basolateral nuclear group of amygdala,needs_review,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,needs_review,improved_better,0.75,"Query specifies 'Basolateral Intermediate Amygdaloid Nucleus', a subpart of the basolateral nucleus. Baseline 'basolateral nuclear group of amygdala' is a broader group. Improved 'basolateral nucleus (basal nucleus) of amygdala' is the parent nucleus, which is closer to the query than the group, though still missing the intermediate subdivision.",improved
species,"Frontal orbital cortex, anterior",llm_accept_top1,HOMBA:10161,frontal cortex,needs_review,HOMBA:10194,orbital frontal cortex,needs_review,improved_better,1.0,"Improved 'orbital frontal cortex' is more specific and accurate for 'Frontal orbital cortex, anterior' than baseline 'frontal cortex'.",improved
species,Cuneate Gracile Nuclei,llm_accept_top1,HOMBA:12587,sensory relay nuclei in medulla oblongata,needs_review,HOMBA:12592,gracile nucleus,needs_review,improved_worse,0.85,"Query refers to both cuneate and gracile nuclei. Baseline 'sensory relay nuclei in medulla oblongata' broadly encompasses both. Improved 'gracile nucleus' matches only one, leaving cuneate unrepresented, thus less correct.",high_risk_accept_degraded
species,Ventromedial occipital cortex,llm_accept_top1,HOMBA:10270,extrastriate occipital cortex,needs_review,HOMBA:AA30826,ventromedial extrastriate occipital cortex,needs_review,improved_better,0.9,Improved candidate adds 'ventromedial' to match the query more specifically than baseline's broader 'extrastriate occipital cortex'.,improved
species,Lateral Dorsal Thalamus,llm_accept_top1,HOMBA:10396,lateral dorsal nucleus of thalamus,needs_review,HOMBA:10391,dorsal thalamus,modifier_conflict,improved_worse,0.9,"Query likely refers to the lateral dorsal nucleus of thalamus (a specific nucleus). Improved candidate 'dorsal thalamus' is a broader superstructure, making it less specific and thus worse.",high_risk_accept_degraded
species,Lateral Dorsal Tegmentum,llm_accept_top1,HOMBA:AA30457,lateral cell group of medulla tegmentum,modifier_conflict,HOMBA:AA30451,dorsal cell group of medulla tegmentum,modifier_conflict,both_wrong,0.8,"Query 'Lateral Dorsal Tegmentum' requires both lateral and dorsal specification. Baseline captures only lateral, improved only dorsal; neither represents the combined region.",high_risk_accept_degraded
species,Ventroposterior Medial and Lateral Thalamus,llm_accept_top1,HOMBA:10420,ventral lateral nucleus of thalamus,modifier_conflict,HOMBA:10408,lateral posterior nucleus of thalamus,modifier_conflict,both_wrong,0.9,Query 'Ventroposterior Medial and Lateral Thalamus' points to VPM and VPL nuclei. Neither baseline (ventral lateral nucleus) nor improved (lateral posterior nucleus) matches these.,high_risk_accept_degraded
species,Ventromedial thalamic nucleus (posterior and basal),llm_accept_top1,HOMBA:10440,posterior nucleus of thalamus,modifier_conflict,HOMBA:10427,ventral medial nucleus of thalamus,needs_review,improved_better,0.9,"Improved candidate 'ventral medial nucleus of thalamus' correctly matches 'ventromedial thalamic nucleus', while baseline 'posterior nucleus of thalamus' is incorrect.",improved
species,Lateral Dorsal Amygdaloid Nucleus,llm_accept_top1,HOMBA:10367,lateral nucleus of amygdala,modifier_conflict,HOMBA:146034710,dorsal division of anterior amygdaloid area,modifier_conflict,both_wrong,0.7,Query 'Lateral Dorsal Amygdaloid Nucleus' suggests a specific nucleus with lateral and dorsal features. Baseline ('lateral nucleus') and improved ('dorsal division of anterior amygdaloid area') each miss the other modifier and do not match the combined concept.,high_risk_accept_degraded
corpus,Lateral intraparietal area (dorsal),llm_reject_top1,HOMBA:12227,"dorsal raphe nucleus, lateral division",needs_review,HOMBA:267498979,lateral subdivision of area 7,modifier_conflict,improved_better,0.8,"Baseline refers to a brainstem nucleus, improved refers to a parietal cortical area (area 7) which is a plausible match for lateral intraparietal area, though modifier conflict suggests possible uncertainty.",improved
corpus,Ventral intraparietal area,llm_reject_top1,HOMBA:12261,ventral tegmental area,needs_review,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,low_confidence,both_wrong,1.0,Neither the baseline 'ventral tegmental area' nor the improved 'anterior pretectal nucleus' correspond to the 'ventral intraparietal area' which is a parietal lobe structure.,both_wrong_changed
corpus,Central opercular cortex (posterior),llm_reject_top1,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),needs_review,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,low_confidence,both_wrong,1.0,"Both candidates are not cortical opercular regions: baseline is frontal motor cortex, improved is a commissural fiber tract.",both_wrong_changed
corpus,Central opercular cortex (anterior),llm_reject_top1,HOMBA:10318,lateral (rostral) entorhinal cortex,needs_review,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),low_confidence,both_wrong,1.0,"Neither candidate maps to the central opercular cortex: baseline is entorhinal cortex, improved is anterior cingulate cortex.",both_wrong_changed
corpus,Intracalcarine cortex (superior),llm_reject_top1,HOMBA:10215,superior medial parietal cortex,needs_review,HOMBA:10243,caudal division of area 22,low_confidence,both_wrong,1.0,"Neither candidate matches the query: baseline is parietal, improved is temporal; query refers to occipital intracalcarine cortex.",both_wrong_changed
corpus,Intracalcarine cortex (inferior),llm_reject_top1,HOMBA:10225,inferior lateral parietal cortex,needs_review,HOMBA:12879,"caudal (posterior, inferior) medullary velum",low_confidence,both_wrong,0.95,"Query 'Intracalcarine cortex (inferior)' refers to occipital lobe cortex. Baseline 'inferior lateral parietal cortex' is parietal, and improved 'caudal (posterior, inferior) medullary velum' is cerebellar/brainstem. Neither matches the query.",both_wrong_changed
corpus,Anterior ventral insular area,llm_reject_top1,HOMBA:AA30890,anterior (ventral) spinal artery,needs_review,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,low_confidence,both_wrong,0.95,"Query 'Anterior ventral insular area' refers to insular cortex. Baseline 'anterior (ventral) spinal artery' is spinal cord, and improved 'anterior (ventral /principal) pretectal nucleus' is midbrain. Neither matches the query.",both_wrong_changed
corpus,Medial dorsal thalamic nucleus,llm_reject_top1,HOMBA:10445,central medial nucleus of thalamus,modifier_conflict,HOMBA:10398,mediodorsal nucleus of thalamus,modifier_conflict,improved_better,1.0,"Improved candidate 'mediodorsal nucleus of thalamus' is a synonym for the query 'Medial dorsal thalamic nucleus', while baseline 'central medial nucleus of thalamus' is a different nucleus.",improved
corpus,Precuneal cortex,llm_reject_top1,HOMBA:10172,prefrontal cortex,low_confidence,HOMBA:10159,cerebral cortex,low_confidence,both_wrong,0.9,"Query 'Precuneal cortex' is a specific parietal lobe region. Baseline 'prefrontal cortex' is frontal lobe, improved 'cerebral cortex' is entire cortex. Neither is a reasonable match.",both_wrong_changed
corpus,Anterior intraparietal area,llm_reject_top1,HOMBA:AA30484,rostral (anterior) branch of anterior commissure,low_confidence,HOMBA:10362,anterior amygdaloid area,low_confidence,both_wrong,1.0,"Baseline is a commissural fiber tract, improved is an amygdaloid area; neither matches the query 'Anterior intraparietal area' which is a parietal cortical area.",both_wrong_changed
corpus,Cuneal cortex,llm_reject_top1,HOMBA:12308,external shell (cortex) of inferior colliculus,low_confidence,HOMBA:AA30018,posterior limiting parietal cortex,low_confidence,both_wrong,1.0,"Baseline is inferior colliculus cortex (midbrain), improved is posterior limiting parietal cortex; neither corresponds to cuneal cortex (occipital lobe).",both_wrong_changed
species,"Ventral striatal region, unspecified",llm_reject_top1,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,needs_review,HOMBA:AA30195,ventral striatum (STRv),low_confidence,improved_better,1.0,"Baseline candidate 'anterior (ventral/principal) pretectal nucleus' is a midbrain structure unrelated to ventral striatum. Improved candidate 'ventral striatum (STRv)' correctly matches the query 'Ventral striatal region, unspecified'.",improved
species,Orbital cortex (ventral),llm_reject_top1,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,needs_review,HOMBA:10194,orbital frontal cortex,needs_review,improved_better,1.0,Baseline candidate (pretectal nucleus) is unrelated; improved candidate ('orbital frontal cortex') matches the query.,improved
species,"Central opercular cortex, posterior",llm_reject_top1,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),needs_review,HOMBA:12841,"lobule III (central lobule and wing, posterior part)",low_confidence,both_wrong,0.8,"Neither 'frontal motor cortex' nor 'lobule III (cerebellar)' match the query 'Central opercular cortex, posterior'; the query refers to a cortical region, not motor cortex or cerebellum.",both_wrong_changed
species,"Laterodorsal thalamic nucleus, ventrolateral part",llm_reject_top1,HOMBA:10443,rostral intralaminar nuclei of thalamus,needs_review,HOMBA:12519,laterodorsal tegmental nucleus,needs_review,both_wrong,0.8,"Neither 'rostral intralaminar nuclei' (thalamic but wrong nucleus) nor 'laterodorsal tegmental nucleus' (brainstem) match the thalamic query 'Laterodorsal thalamic nucleus, ventrolateral part'.",both_wrong_changed
species,Ventral orbital area,llm_reject_top1,HOMBA:12261,ventral tegmental area,needs_review,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,low_confidence,both_wrong,0.95,"Query 'Ventral orbital area' is a cortical region, but baseline 'ventral tegmental area' and improved 'anterior pretectal nucleus' are both midbrain structures. Neither matches the query.",both_wrong_changed
species,Ventroposterior inferior thalamic nucleus,llm_reject_top1,HOMBA:10409,pulvinar of thalamus,needs_review,HOMBA:10448,caudal intralaminar nuclei of thalamus,needs_review,both_wrong,0.85,"Neither baseline (pulvinar of thalamus) nor improved (caudal intralaminar nuclei of thalamus) accurately represent the query 'Ventroposterior inferior thalamic nucleus', which is a distinct ventral posterior nucleus.",both_wrong_changed
species,Centrolateral and paracentral thalamic nuclei,llm_reject_top1,HOMBA:10443,rostral intralaminar nuclei of thalamus,needs_review,HOMBA:10446,paracentral nucleus of thalamus,needs_review,improved_worse,0.8,"Query asks for 'centrolateral and paracentral thalamic nuclei' together. Baseline 'rostral intralaminar nuclei of thalamus' is a correct group term for these two nuclei. Improved 'paracentral nucleus of thalamus' is only one component, making it less correct than the baseline.",degraded
species,Interanteromedial Thalamus,llm_reject_top1,HOMBA:AA30276,ventral midline nuclei of thalamus,needs_review,HOMBA:13048,interanteromedial nucleus of thalamus,needs_review,improved_better,1.0,"Improved 'interanteromedial nucleus of thalamus' exactly matches the query 'Interanteromedial Thalamus'. Baseline 'ventral midline nuclei of thalamus' is a broader parent group, less specific. Improved is more correct.",improved
species,Basomedial amygdaloid nucleus,llm_reject_top1,HOMBA:10366,basolateral nuclear group of amygdala,needs_review,HOMBA:10369,basomedial nucleus (accessory basal nucleus) of amygdala,needs_review,improved_better,0.95,"Improved candidate is the specific nucleus request (basomedial nucleus), while baseline is a broader group (basolateral nuclear group).",improved
species,Intermediodorsal Thalamus,llm_reject_top1,HOMBA:AA30274,dorsal midline nuclei of thalamus,needs_review,HOMBA:13049,intermediodorsal  nucleus of thalamus,needs_review,improved_better,0.95,"Improved candidate is the specific intermediodorsal nucleus, matching the query exactly, while baseline is a broader group (dorsal midline nuclei).",improved
species,Ventrolateral thalamic nucleus,llm_reject_top1,HOMBA:10443,rostral intralaminar nuclei of thalamus,needs_review,HOMBA:10420,ventral lateral nucleus of thalamus,high_confidence,improved_better,0.9,"Improved candidate 'ventral lateral nucleus of thalamus' directly matches the query 'Ventrolateral thalamic nucleus', while baseline 'rostral intralaminar nuclei' is a different group.",improved
species,Laterodorsal thalamic nucleus,llm_reject_top1,HOMBA:10393,anterodorsal nucleus of thalamus,needs_review,HOMBA:10396,lateral dorsal nucleus of thalamus,high_confidence,improved_better,0.9,"Improved candidate 'lateral dorsal nucleus of thalamus' matches the query 'Laterodorsal thalamic nucleus', while baseline 'anterodorsal nucleus' is a different nucleus.",improved
species,Spinal Trigeminal Nucleus Intermediate,llm_reject_top1,HOMBA:12436,afferent nuclei of cranial nerves in pons,needs_review,HOMBA:12572,spinal trigeminal nucleus,needs_review,improved_better,0.8,"Baseline 'afferent nuclei of cranial nerves in pons' is incorrect (wrong region and too broad). Improved 'spinal trigeminal nucleus' is the parent structure of the query 'Spinal Trigeminal Nucleus Intermediate', making it more specific and correct than baseline, though not an exact match.",improved
species,Optic tract/chiasma,llm_reject_top1,HOMBA:10589,optic tract,needs_review,HOMBA:10644,optic chiasm,needs_review,needs_human_review,0.7,"Query 'Optic tract/chiasma' is a slash composite, possibly expecting both structures. Neither 'optic tract' nor 'optic chiasm' alone fully answers it; ambiguous whether a single term is sufficient.",needs_human_review
species,Cerebellar Lobule 10 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,homba_gap_or_source_issue,0.9,"Query 'Cerebellar Lobule 10 Vermis' is a specific lobule unlikely to be present in the ontology; both candidates are broader terms (cerebellar morphology, cerebellar vermis), suggesting a gap.",gap_or_source_issue
species,Cerebellar Lobule 1 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,homba_gap_or_source_issue,0.9,"Same as record 862, for Lobule 1 Vermis; specific lobule likely missing in ontology.",gap_or_source_issue
species,Cerebellar Lobule 2 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,homba_gap_or_source_issue,0.9,"Same as record 862, for Lobule 2 Vermis; specific lobule likely missing in ontology.",gap_or_source_issue
species,Cerebellar Lobule 3 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.9,"Improved candidate 'cerebellar vermis' is a more specific and accurate parent structure for 'Cerebellar Lobule 3 Vermis' than baseline 'cerebellar morphology', which is too broad.",improved
species,Cerebellar Lobule 4 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.9,Improved candidate 'cerebellar vermis' is a more specific and accurate parent structure for 'Cerebellar Lobule 4 Vermis' than baseline 'cerebellar morphology'.,improved
species,Cerebellar Lobule 5 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.9,Improved candidate 'cerebellar vermis' is a more specific and accurate parent structure for 'Cerebellar Lobule 5 Vermis' than baseline 'cerebellar morphology'.,improved
species,Cerebellar Lobule 6 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.9,Improved candidate 'cerebellar vermis' is a more specific and accurate parent structure for 'Cerebellar Lobule 6 Vermis' than baseline 'cerebellar morphology'.,improved
species,Cerebellar Lobule 7 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.9,Improved candidate 'cerebellar vermis' is a more specific and accurate parent structure for 'Cerebellar Lobule 7 Vermis' than baseline 'cerebellar morphology'.,improved
species,Cerebellar Lobule 8 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.7,"Baseline 'cerebellar morphology' is too broad; improved 'cerebellar vermis' is a more specific region that includes the queried lobule, though not exact.",improved
species,Cerebellar Lobule 9 Vermis,llm_out_of_scope_for_rcs,HOMBA:AA30563,cerebellar morphology,needs_review,HOMBA:10658,cerebellar vermis,needs_review,improved_better,0.7,Same as 870: improved 'cerebellar vermis' is a closer match than baseline 'cerebellar morphology'.,improved
species,Medial Raphe,llm_reject_top1,HOMBA:12402,fastigial (medial) nucleus,needs_review,HOMBA:12235,median raphe nucleus,low_confidence,improved_better,0.8,Baseline 'fastigial nucleus' is unrelated; improved 'median raphe nucleus' is a plausible match for 'Medial Raphe'.,improved
species,Dorsal Lateral Leminscus Nucleus,llm_reject_top1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),needs_review,HOMBA:12455,dorsal nucleus of lateral lemniscus,high_confidence,improved_better,0.9,Baseline 'lateral geniculate nucleus' is incorrect; improved 'dorsal nucleus of lateral lemniscus' correctly matches the query.,improved
species,Abducens Motor Nucleus,llm_reject_top1,HOMBA:12417,efferent nuclei of cranial nerves in pons,needs_review,HOMBA:12418,abducens nucleus,needs_review,improved_better,0.95,"Improved candidate 'abducens nucleus' is a specific and correct match for 'Abducens Motor Nucleus', while baseline is a broader grouping.",improved
species,Medial Emminence,llm_out_of_scope_for_rcs,HOMBA:12820,medial eminence,needs_review,HOMBA:12402,fastigial (medial) nucleus,low_confidence,improved_worse,0.9,"Baseline 'medial eminence' correctly matches query, but improved 'fastigial (medial) nucleus' is a different structure (cerebellar nucleus).",degraded
species,Ventromedial thalamic nucleus,llm_reject_top1,HOMBA:10448,caudal intralaminar nuclei of thalamus,needs_review,HOMBA:10427,ventral medial nucleus of thalamus,high_confidence,improved_better,0.95,"Improved candidate 'ventral medial nucleus of thalamus' is a correct synonym for 'Ventromedial thalamic nucleus', while baseline is a different thalamic nuclear group.",improved
