dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check,review_record_id,source_file,source_row,pass1_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_label,pass3_certainty,pass3_confidence,pass3_reason,final_consistency_label,final_certainty,final_confidence,vote_agreement,has_vote_disagreement,vote_split_pattern,uncertainty_tag,final_reason,_category,_mechanism
corpus,Area 43,high_confidence,1.0,HOMBA:AA30017,caudal division of subcentral cortex (area 43),bm25+exact+fuzzy,Area 43,Area 43,,1.0,rostral division of subcentral cortex (area 43),1.0,questionable,398,2_highconf_incorrect.csv,2,aligned,high,1.0,"top1_name includes 'area 43' explicitly, aligning with query 'Area 43'.",aligned,high,1.0,"Top1 includes 'area 43' explicitly, directly matching the query.",aligned,high,1.0,"'Area 43' matches Brodmann area 43, exactly the top1 name with its parenthetical synonym.",aligned,high,1.0,3/3,False,3-0,stable,"top1_name includes 'area 43' explicitly, aligning with query 'Area 43'. | Top1 includes 'area 43' explicitly, directly matching the query. | 'Area 43' matches Brodmann area 43, exactly the top1 name with its parenthetical synonym.",,
corpus,Middle frontal gyrus (middle),high_confidence,1.0,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,middle,1.0,middle ectosylvian gyrus,0.456844,correct_parent,399,2_highconf_incorrect.csv,3,aligned,high,1.0,"top1_name 'middle frontal gyrus' directly matches the core query term, ignoring redundant modifier.",aligned,high,1.0,Top1 'middle frontal gyrus' matches the core query 'Middle frontal gyrus'; parenthetical 'middle' does not conflict.,broader_parent,medium,0.7,"Query likely specifies middle subregion of middle frontal gyrus; top1 is the whole gyrus, a broader parent.",aligned,medium,0.9,2/3,True,2-1,majority_vote,"top1_name 'middle frontal gyrus' directly matches the core query term, ignoring redundant modifier. | Top1 'middle frontal gyrus' matches the core query 'Middle frontal gyrus'; parenthetical 'middle' does not conflict. | Query likely specifies middle subregion of middle frontal gyrus; top1 is the whole gyrus, a broader parent.",,
corpus,Vestibular nucleus,high_confidence,1.0,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,,1.0,vestibular nuclei in medulla,0.816733,questionable,400,2_highconf_incorrect.csv,4,aligned,high,0.95,'Vestibular nuclei in pons' is a conventional plural and locational variant of 'Vestibular nucleus'; synonymous.,aligned,high,0.95,Top1 matches the query; plural form and location specification are acceptable synonyms.,aligned,high,0.95,Query 'Vestibular nucleus' is commonly used for the vestibular nuclear complex; top1 adds location but refers to same structure.,aligned,high,0.95,3/3,False,3-0,stable,'Vestibular nuclei in pons' is a conventional plural and locational variant of 'Vestibular nucleus'; synonymous. | Top1 matches the query; plural form and location specification are acceptable synonyms. | Query 'Vestibular nucleus' is commonly used for the vestibular nuclear complex; top1 adds location but refers to same structure.,,
corpus,Ventral posterior internal thalamic nucleus,high_confidence,0.968565,HOMBA:10423,ventral posterior nuclear complex of thalamus,bm25+fuzzy,Ventral posterior internal thalamic nucleus,ventral posterior thalamic nucleus,ventral;posterior,1.0,ventral posterior inferior nucleus,0.784292,questionable,401,2_highconf_incorrect.csv,5,broader_parent,high,0.95,'Ventral posterior internal thalamic nucleus' is a subnucleus of 'ventral posterior nuclear complex'; top1 is broader parent.,broader_parent,high,0.9,Top1 is the broader nuclear complex that includes the internal subnucleus; accurate parent.,broader_parent,high,0.95,"Query likely refers to ventral posterior medial nucleus; top1 is the entire ventral posterior complex, anatomically correct parent.",broader_parent,high,0.9333,3/3,False,3-0,stable,"'Ventral posterior internal thalamic nucleus' is a subnucleus of 'ventral posterior nuclear complex'; top1 is broader parent. | Top1 is the broader nuclear complex that includes the internal subnucleus; accurate parent. | Query likely refers to ventral posterior medial nucleus; top1 is the entire ventral posterior complex, anatomically correct parent.",,
corpus,Internal globus pallidus,high_confidence,0.938625,HOMBA:10342,globus pallidus (paleostriatum),bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),,1.0,internal division of globus pallidus,0.858625,questionable,402,2_highconf_incorrect.csv,6,broader_parent,high,0.95,'Internal globus pallidus' is a subdivision of 'globus pallidus'; top1 is the whole structure (parent).,broader_parent,high,0.9,"Top1 is the whole globus pallidus, broader than the internal segment; valid parent.",broader_parent,high,0.95,"Query specifies internal segment of globus pallidus; top1 is the whole globus pallidus, the broader parent structure.",broader_parent,high,0.9333,3/3,False,3-0,stable,"'Internal globus pallidus' is a subdivision of 'globus pallidus'; top1 is the whole structure (parent). | Top1 is the whole globus pallidus, broader than the internal segment; valid parent. | Query specifies internal segment of globus pallidus; top1 is the whole globus pallidus, the broader parent structure.",,
corpus,Anterior nucleus (thalamus),high_confidence,0.923571,HOMBA:10410,rostral division of pulvinar,bm25+fuzzy,Anterior nucleus,anterior nucleus of pulvinar,thalamus,1.0,ventral anterior nucleus of thalamus,0.905634,wrong,403,2_highconf_incorrect.csv,7,wrong,high,0.98,Anterior nucleus (thalamus) is distinct from rostral division of pulvinar; top1 is a different thalamic nucleus.,wrong,medium,0.7,"Query likely refers to anterior thalamic nucleus, but top1 is rostral pulvinar; different structures.",wrong,high,0.98,"Anterior nucleus (thalamus) is a distinct limbic thalamic nucleus; pulvinar's rostral division is a different structure, not a match.",wrong,high,0.8867,3/3,False,3-0,stable,"Anterior nucleus (thalamus) is distinct from rostral division of pulvinar; top1 is a different thalamic nucleus. | Query likely refers to anterior thalamic nucleus, but top1 is rostral pulvinar; different structures. | Anterior nucleus (thalamus) is a distinct limbic thalamic nucleus; pulvinar's rostral division is a different structure, not a match.",,
species,Basal Nucleus,high_confidence,1.0,HOMBA:10332,basal ganglia (basal nuclei),bm25+exact+fuzzy+hierarchy_parent,Basal Nucleus,Basal Nucleus,,1.0,basolateral nucleus (basal nucleus) of amygdala,1.0,questionable,404,2_highconf_incorrect.csv,8,aligned,medium,0.8,"'Basal Nucleus' can synonymously refer to 'basal ganglia (basal nuclei)', though singular/plural difference; plausible.",ambiguous,medium,0.6,Query singular 'Basal Nucleus' may refer to nucleus basalis or be a variant for basal ganglia; top1 is basal ganglia.,aligned,high,0.95,Basal Nucleus is a synonym for basal ganglia; top1 is exactly the same anatomical entity.,aligned,medium,0.7833,2/3,True,2-1,majority_vote,"'Basal Nucleus' can synonymously refer to 'basal ganglia (basal nuclei)', though singular/plural difference; plausible. | Query singular 'Basal Nucleus' may refer to nucleus basalis or be a variant for basal ganglia; top1 is basal ganglia. | Basal Nucleus is a synonym for basal ganglia; top1 is exactly the same anatomical entity.",,
species,"Lateral posterior thalamic nucleus, lateral part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,"Lateral posterior thalamic nucleus, lateral part",lateral posterior thalamic nucleus,lateral;posterior,1.0,posterior nucleus of thalamus,0.87,correct_parent,405,2_highconf_incorrect.csv,9,broader_parent,high,0.95,Top1 names the parent nucleus (lateral posterior nucleus of thalamus) while query specifies a subpart (lateral part). Anatomically correct but broader.,broader_parent,high,1.0,Top1 is the parent nucleus of the queried subpart (lateral part) minus the modifier.,partial_or_narrower,high,0.95,"Query specifies 'lateral part' of lateral posterior thalamic nucleus; top1 is the whole nucleus, missing the part-specific subdivision.",broader_parent,medium,0.9667,2/3,True,2-1,majority_vote,"Top1 names the parent nucleus (lateral posterior nucleus of thalamus) while query specifies a subpart (lateral part). Anatomically correct but broader. | Top1 is the parent nucleus of the queried subpart (lateral part) minus the modifier. | Query specifies 'lateral part' of lateral posterior thalamic nucleus; top1 is the whole nucleus, missing the part-specific subdivision.",,
species,"Lateral posterior thalamic nucleus, mediocaudal part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,lateral posterior nucleus of thalamus mediocaudal part,lateral posterior nucleus of thalamus,lateral;posterior,1.0,posterior nucleus of thalamus,0.800278,correct_parent,406,2_highconf_incorrect.csv,10,broader_parent,high,0.95,"Top1 names the parent nucleus, query specifies mediocaudal part. Broader but correct parent.",broader_parent,high,1.0,Top1 is the parent nucleus of the queried subpart (mediocaudal part) minus the modifier.,partial_or_narrower,high,0.95,"Query specifies 'mediocaudal part'; top1 is the entire lateral posterior nucleus, not the subregion.",broader_parent,medium,0.9667,2/3,True,2-1,majority_vote,"Top1 names the parent nucleus, query specifies mediocaudal part. Broader but correct parent. | Top1 is the parent nucleus of the queried subpart (mediocaudal part) minus the modifier. | Query specifies 'mediocaudal part'; top1 is the entire lateral posterior nucleus, not the subregion.",,
species,"Lateral posterior thalamic nucleus, mediorostral part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,lateral posterior nucleus of thalamus mediorostral part,lateral posterior nucleus of thalamus,lateral;posterior,1.0,posterior nucleus of thalamus,0.792955,correct_parent,407,2_highconf_incorrect.csv,11,broader_parent,high,0.95,"Top1 names the parent nucleus, query specifies mediorostral part. Broader but correct parent.",broader_parent,high,1.0,Top1 is the parent nucleus of the queried subpart (mediorostral part) minus the modifier.,partial_or_narrower,high,0.95,"Query specifies 'mediorostral part'; top1 is the whole nucleus, not the requested subpart.",broader_parent,medium,0.9667,2/3,True,2-1,majority_vote,"Top1 names the parent nucleus, query specifies mediorostral part. Broader but correct parent. | Top1 is the parent nucleus of the queried subpart (mediorostral part) minus the modifier. | Query specifies 'mediorostral part'; top1 is the whole nucleus, not the requested subpart.",,
species,Vestibular Nucleus,high_confidence,1.0,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent,Vestibular Nucleus,Vestibular Nucleus,,1.0,vestibular nuclei in medulla,0.816733,questionable,408,2_highconf_incorrect.csv,12,partial_or_narrower,medium,0.85,"Query is general 'Vestibular Nucleus', top1 specifies 'vestibular nuclei in pons', a narrower region. Anatomically related but more specific.",broader_parent,medium,0.8,"Query 'Vestibular Nucleus' singular may refer to a specific nucleus; top1 is the plural group 'vestibular nuclei in pons', a valid parent.",aligned,high,0.95,"Vestibular Nucleus refers to the vestibular nuclear complex; top1 'vestibular nuclei in pons' is the same entity, plural form and locational qualifier do not change identity.",no_consensus,low,0.8667,1/3,True,1-1-1,split_vote,"Query is general 'Vestibular Nucleus', top1 specifies 'vestibular nuclei in pons', a narrower region. Anatomically related but more specific. | Query 'Vestibular Nucleus' singular may refer to a specific nucleus; top1 is the plural group 'vestibular nuclei in pons', a valid parent. | Vestibular Nucleus refers to the vestibular nuclear complex; top1 'vestibular nuclei in pons' is the same entity, plural form and locational qualifier do not change identity.",,
