dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check
corpus,Abducens nucleus,high_confidence,1.0,HOMBA:12418,abducens nucleus,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,,1.0,efferent nuclei of the cranial nerves in midbrain,0.260505,correct
corpus,Accessory facial nucleus,high_confidence,1.0,HOMBA:12419,accessory facial nucleus,bm25+exact+fuzzy,Accessory facial nucleus,Accessory facial nucleus,accessory,1.0,accessory nerve nucleus (supraspinal nucleus),0.407986,correct
corpus,Alveus,high_confidence,1.0,HOMBA:10570,alveus,bm25+exact+fuzzy,Alveus,Alveus,,1.0,,,correct
corpus,Amygdala,high_confidence,1.0,HOMBA:10361,amygdaloid complex,bm25+exact+fuzzy,Amygdala,Amygdala,,1.0,regions of amygdaloid complex,0.903017,correct
corpus,Angular gyrus,high_confidence,1.0,HOMBA:12136,angular gyrus,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,,1.0,inferior parietal lobule (gyrus),0.8342,correct
corpus,Ansa lenticularis,high_confidence,1.0,HOMBA:10571,ansa lenticularis,bm25+exact+fuzzy,Ansa lenticularis,Ansa lenticularis,,1.0,ansa peduncularis,0.278056,correct
corpus,Anterior commissure,high_confidence,1.0,HOMBA:10559,anterior commissure,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,,1.0,rostral (anterior) branch of anterior commissure,0.697635,correct
corpus,Anterior thalamic nucleus,high_confidence,1.0,HOMBA:10392,anterior nuclear complex of thalamus,bm25+exact+fuzzy+hierarchy_parent,anterior thalamic nuclei,anterior thalamic nuclei,,1.0,ventral anterior nucleus of thalamus,0.75465,correct
corpus,Arcuate fasciculus,high_confidence,1.0,HOMBA:10569,arcuate fasciculus,bm25+exact+fuzzy,Arcuate fasciculus,Arcuate fasciculus,,1.0,dorsal fasciculus (column) of spinal cord,0.281916,correct
corpus,Area 52,high_confidence,1.0,HOMBA:10267,parainsular cortex (area 52),bm25+exact+fuzzy,Area 52,Area 52,,1.0,,,correct
corpus,Area postrema,high_confidence,1.0,HOMBA:12807,area postrema,bm25+exact+fuzzy,Area postrema,Area postrema,,1.0,,,correct
corpus,Brachium conjunctivum,high_confidence,1.0,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+exact+fuzzy,Brachium conjunctivum,Brachium conjunctivum,,1.0,middle cerebellar peduncle (brachium pontis),0.265707,correct
corpus,CA1,high_confidence,1.0,HOMBA:10297,CA1 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent,CA1,CA1,,1.0,"lamination of hippocampal proper (CA1, CA2, CA3)",1.0,correct
corpus,CA2,high_confidence,1.0,HOMBA:10298,CA2 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent,CA2,CA2,,1.0,"lamination of hippocampal proper (CA1, CA2, CA3)",1.0,correct
corpus,CA3,high_confidence,1.0,HOMBA:10299,CA3 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent,CA3,CA3,,1.0,"lamination of hippocampal proper (CA1, CA2, CA3)",1.0,correct
corpus,Caudate nucleus,high_confidence,1.0,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,,1.0,body of caudate nucleus,0.843297,correct
corpus,Cerebellar cortex (Purkinje cell layer),high_confidence,1.0,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,bm25+fuzzy,cerebellar cortex purkinje cell layer of cerebellar cortex,Purkinje cell layer of cerebellar cortex,purkinje;cell;layer;purkinje cell layer,1.0,cerebellar cortex,0.88,correct
corpus,Cerebellar hemisphere,high_confidence,1.0,HOMBA:10659,cerebellar hemisphere,bm25+exact+fuzzy+hierarchy_parent,Cerebellar hemisphere,Cerebellar hemisphere,,1.0,cerebellar morphology,0.97,correct
corpus,Cerebellar vermis,high_confidence,1.0,HOMBA:10658,cerebellar vermis,bm25+exact+fuzzy,Cerebellar vermis,Cerebellar vermis,,1.0,cerebellar morphology,0.97,correct
corpus,Cerebral aqueduct,high_confidence,1.0,HOMBA:12369,cerebral aqueduct,bm25+exact+fuzzy,Cerebral aqueduct,Cerebral aqueduct,,1.0,telencephalon,0.308508,correct
corpus,Cerebral peduncle,high_confidence,1.0,HOMBA:12330,cerebral peduncle (crus cerebri),bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,,1.0,telencephalon,0.308508,correct
corpus,Cingulate gyrus (posterior),high_confidence,1.0,HOMBA:10285,posterior cingulate cortex (PCC),bm25+fuzzy,cingulate cortex,posterior cingulate cortex,posterior,1.0,"cingulate gyrus, caudal (posterior) part",0.923571,correct
corpus,Corticospinal tract,high_confidence,1.0,HOMBA:12047,corticospinal tract,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,,1.0,pyramidal tract,0.97,correct
corpus,Cuneate fasciculus,high_confidence,1.0,HOMBA:12731,cuneate fasciculus,bm25+exact+fuzzy,Cuneate fasciculus,Cuneate fasciculus,,1.0,cuneate fasciculus in spinal cord,0.696591,correct
corpus,Cuneate nucleus,high_confidence,1.0,HOMBA:12589,cuneate nucleus,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,,1.0,sensory relay nuclei in medulla oblongata,0.97,correct
corpus,Cuneate nucleus (external),high_confidence,1.0,HOMBA:12588,external (accessory/lateral) cuneate nucleus,bm25+fuzzy,Cuneate nucleus,external   cuneate nucleus,external,1.0,cuneate nucleus,0.88,correct
corpus,Cuneus,high_confidence,1.0,HOMBA:12150,cuneus (gyrus),bm25+exact+fuzzy,Cuneus,Cuneus,,1.0,,,correct
corpus,Dentate gyrus,high_confidence,1.0,HOMBA:10295,dentate gyrus,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,,1.0,major division of dentate gyrus,0.898452,correct
