record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class_before,region_class,class_corrected,class_ok_vote,suitability,unsuitable_reason,audit_stage,api_priority,rule_flags,final_certainty,final_confidence,audit_agreement,audit_vote_split,audit_reason,prior_decision_stage,prior_certainty,prior_reason
0,thalamus,thalamus,Human,PM32919055,582,297,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9867,3/3,3-0,"Thalamus is subcortical gray matter; standard ROI for RCS mapping. | Thalamus is a clear non-neocortical gray-matter region. | Thalamus is a subcortical gray matter structure, clearly non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
1,cortex,cortex,Mouse,PM41413261,353,209,other,other,no,yes,unsuitable,too_broad,flash,flash_split,rule_too_broad|rule_prior_other|flash_split,high,0.97,3/3,3-0,"Bare 'cortex' is an umbrella term, not a concrete gray-matter ROI. | Bare 'cortex' is an umbrella term, not a specific mappable region. | Bare 'cortex' is an umbrella term, not a specific concrete ROI for mapping.",flash,medium,bare 'cortex' is too vague to assign to neocortex or allocortex; umbrella term | Bare 'cortex' too vague to assign a specific region per rule. | 'cortex' alone is too vague; could refer to neocortex or other cortices
2,M1,primary motor cortex,Mouse,PM33836602,347,184,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.98,,,rule_keep: clean,flash,high,"primary motor cortex is a well-defined neocortical area | Primary motor cortex, clearly part of neocortex (isocortex). | primary motor cortex (M1) is a well-defined neocortical area"
3,BLA,basolateral amygdala,Mouse,PM40840443,345,157,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"BLA is a standard amygdala subregion; non-neocortical gray matter. | Basolateral amygdala is a clear amygdala/basal forebrain non-neocortical ROI. | Basolateral amygdala is a defined amygdalar gray matter nucleus, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
4,VTA,ventral tegmental area,Mouse,PM38895464,320,144,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"VTA is a midbrain gray-matter region; non-neocortical. | Ventral tegmental area is a midbrain structure, not neocortex. | VTA is a ventral midbrain dopamine area, clearly non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
5,mPFC,medial prefrontal cortex,Mouse,PM36063145,297,149,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.98,,,rule_keep: clean,flash,high,medial prefrontal cortex is neocortex | Medial prefrontal cortex is a neocortical area. | medial prefrontal cortex (mPFC) is part of neocortex
6,striatum,striatum,Mouse,PM33113247,290,152,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9833,3/3,3-0,"Striatum is a clear subcortical gray matter region. | Striatum is basal ganglia, clearly non-neocortical. | Striatum is a clear subcortical gray-matter region, correctly labeled non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
7,spinal cord,spinal cord,Mouse,PM40108302,264,151,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9733,3/3,3-0,Spinal cord is explicitly a non-neocortical CNS region. | Spinal cord is a non-neocortical central nervous system region. | Spinal cord is a concrete CNS region and is correctly classified as non-neocortex.,seed_remap,high,seed: subcortical → non_neocortex
8,ACC,anterior cingulate cortex,Mouse,PM39614717,261,78,non_neocortex,neocortex,yes,no,suitable,,flash,contamination_suspect,suspect_border_in_non_neo|flash_split,high,0.9567,3/3,3-0,"ACC is treated as isocortex in rodent atlases, so non_neocortex is incorrect. | ACC/anterior cingulate cortex is standard projection ROI; rodent atlases treat cingulate as isocortex-like neocortex. | ACC is anterior cingulate cortex, treated as isocortex in rodent atlases; non-neocortex label is incorrect.",pro,high,"Anterior cingulate cortex is a mesocortical area, not typical 6-layered isocortex. | ACC is mesocortex (transitional), not 6-layered isocortex. Conventional classification groups cingulate with allocortex/mesocortex, thus non_neocortex. | Anterior cingulate cortex is a mesocortical transitional area"
9,V1,primary visual cortex,Mouse,PM38802410,250,103,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.98,,,rule_keep: clean,flash,high,"primary visual cortex is neocortex | Primary visual cortex, classic neocortex. | primary visual cortex (V1) is a neocortical area"
