structure_name,category,species,paper,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Mammillary body,gray_matter,Human,Adil2021,1,HOMBA:15546,mammillary body,MB,mammillary body,MB,HOMBA:AA30560,2007,2005,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,high_confidence,,1.0,,both
Pineal gland,gray_matter,Human,Adil2021,1,HOMBA:10460,pineal body,Pin,pineal body,Pin,HOMBA:10451,854,841,1.0,bm25+exact+fuzzy,Pineal gland,Pineal gland,high_confidence,,1.0,,both
Pulvinar nucleus,gray_matter,Human,Adil2021,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Subthalamic nucleus,gray_matter,Human,Adil2021,1,HOMBA:10466,subthalamic nucleus,STH,subthalamic nucleus,STH,HOMBA:10465,856,856,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,high_confidence,,1.0,,both
Thalamus (excluding pulvinar),gray_matter,Human,Adil2021,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,0.88,bm25+exact+fuzzy,Thalamus,Thalamus,needs_review,excluding;pulvinar;excluding pulvinar,0.0,,both
Inferior colliculus,gray_matter,Human,Adil2021,1,HOMBA:12305,inferior colliculus,IC,inferior colliculus,IC,HOMBA:12291,976,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Red nucleus,gray_matter,Human,Adil2021,1,HOMBA:12247,red nucleus,RN,red nucleus,RN,HOMBA:AA30363,1032,1032,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Substantia nigra,gray_matter,Human,Adil2021,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Superior colliculus,gray_matter,Human,Adil2021,1,HOMBA:12292,superior colliculus,SC,superior colliculus,SC,HOMBA:12291,963,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Abducens nucleus,gray_matter,Human,Adil2021,1,HOMBA:12418,abducens nucleus,6N,abducens nucleus,6N,HOMBA:12417,1200,1200,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,high_confidence,,1.0,,both
