dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check,review_record_id,source_file,source_row,pass1_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_label,pass3_certainty,pass3_confidence,pass3_reason,final_consistency_label,final_certainty,final_confidence,vote_agreement,has_vote_disagreement,vote_split_pattern,uncertainty_tag,final_reason,_category,_mechanism
corpus,Abducens nucleus,high_confidence,1.0,HOMBA:12418,abducens nucleus,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,,1.0,efferent nuclei of the cranial nerves in midbrain,0.260505,correct,0,1_highconf_correct.csv,2,aligned,high,1.0,"Query 'Abducens nucleus' matches top1 'abducens nucleus' exactly except for case, referring to the same structure.",aligned,high,1.0,Exact match with case variation; same anatomical structure.,aligned,high,1.0,Exact match except case.,aligned,high,1.0,3/3,False,3-0,stable,"Query 'Abducens nucleus' matches top1 'abducens nucleus' exactly except for case, referring to the same structure. | Exact match with case variation; same anatomical structure. | Exact match except case.",,
corpus,Accessory facial nucleus,high_confidence,1.0,HOMBA:12419,accessory facial nucleus,bm25+exact+fuzzy,Accessory facial nucleus,Accessory facial nucleus,accessory,1.0,accessory nerve nucleus (supraspinal nucleus),0.407986,correct,1,1_highconf_correct.csv,3,aligned,high,1.0,"Query 'Accessory facial nucleus' matches top1 'accessory facial nucleus' exactly, identical structure.",aligned,high,1.0,"Exact match, including modifier 'accessory'.",aligned,high,1.0,Exact match except case.,aligned,high,1.0,3/3,False,3-0,stable,"Query 'Accessory facial nucleus' matches top1 'accessory facial nucleus' exactly, identical structure. | Exact match, including modifier 'accessory'. | Exact match except case.",,
corpus,Alveus,high_confidence,1.0,HOMBA:10570,alveus,bm25+exact+fuzzy,Alveus,Alveus,,1.0,,,correct,2,1_highconf_correct.csv,4,aligned,high,1.0,"Query 'Alveus' matches top1 'alveus' exactly, same anatomical structure.",aligned,high,1.0,Exact match.,aligned,high,1.0,Exact match except case.,aligned,high,1.0,3/3,False,3-0,stable,"Query 'Alveus' matches top1 'alveus' exactly, same anatomical structure. | Exact match. | Exact match except case.",,
corpus,Amygdala,high_confidence,1.0,HOMBA:10361,amygdaloid complex,bm25+exact+fuzzy,Amygdala,Amygdala,,1.0,regions of amygdaloid complex,0.903017,correct,3,1_highconf_correct.csv,5,aligned,high,0.99,"Query 'Amygdala' is a common synonym for top1 'amygdaloid complex'; accepted alternative name, consistent.",aligned,high,1.0,'amygdaloid complex' is the standard term for amygdala; accepted synonym.,aligned,high,1.0,'Amygdala' and 'amygdaloid complex' are synonymous in neuroanatomy.,aligned,high,0.9967,3/3,False,3-0,stable,"Query 'Amygdala' is a common synonym for top1 'amygdaloid complex'; accepted alternative name, consistent. | 'amygdaloid complex' is the standard term for amygdala; accepted synonym. | 'Amygdala' and 'amygdaloid complex' are synonymous in neuroanatomy.",,
corpus,Angular gyrus,high_confidence,1.0,HOMBA:12136,angular gyrus,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,,1.0,inferior parietal lobule (gyrus),0.8342,correct,4,1_highconf_correct.csv,6,aligned,high,1.0,"Query 'Angular gyrus' matches top1 'angular gyrus' exactly except for case, same structure.",aligned,high,1.0,Exact match.,aligned,high,1.0,Exact match except case.,aligned,high,1.0,3/3,False,3-0,stable,"Query 'Angular gyrus' matches top1 'angular gyrus' exactly except for case, same structure. | Exact match. | Exact match except case.",,
corpus,Ansa lenticularis,high_confidence,1.0,HOMBA:10571,ansa lenticularis,bm25+exact+fuzzy,Ansa lenticularis,Ansa lenticularis,,1.0,ansa peduncularis,0.278056,correct,5,1_highconf_correct.csv,7,aligned,high,1.0,Exact match (case-insensitive) between query and top1_name.,aligned,high,1.0,Exact match (case-insensitive).,aligned,high,1.0,Exact case-insensitive match.,aligned,high,1.0,3/3,False,3-0,stable,Exact match (case-insensitive) between query and top1_name. | Exact match (case-insensitive). | Exact case-insensitive match.,,
corpus,Anterior commissure,high_confidence,1.0,HOMBA:10559,anterior commissure,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,,1.0,rostral (anterior) branch of anterior commissure,0.697635,correct,6,1_highconf_correct.csv,8,aligned,high,1.0,Exact match (case-insensitive) between query and top1_name.,aligned,high,1.0,Exact match (case-insensitive).,aligned,high,1.0,Exact case-insensitive match.,aligned,high,1.0,3/3,False,3-0,stable,Exact match (case-insensitive) between query and top1_name. | Exact match (case-insensitive). | Exact case-insensitive match.,,
corpus,Anterior thalamic nucleus,high_confidence,1.0,HOMBA:10392,anterior nuclear complex of thalamus,bm25+exact+fuzzy+hierarchy_parent,anterior thalamic nuclei,anterior thalamic nuclei,,1.0,ventral anterior nucleus of thalamus,0.75465,correct,7,1_highconf_correct.csv,9,broader_parent,medium,0.8,Query 'anterior thalamic nucleus' (singular) is a component of 'anterior nuclear complex of thalamus'; top1 is broader parent.,broader_parent,high,0.9,Top1 is broader: anterior nuclear complex includes the anterior thalamic nucleus. Anatomically correct parent.,aligned,high,0.95,Query refers to anterior thalamic nucleus group; top1 is the accepted complex (anterior nuclear complex of thalamus). Singular/plural variation does not change the anatomical entity.,broader_parent,medium,0.8833,2/3,True,2-1,majority_vote,Query 'anterior thalamic nucleus' (singular) is a component of 'anterior nuclear complex of thalamus'; top1 is broader parent. | Top1 is broader: anterior nuclear complex includes the anterior thalamic nucleus. Anatomically correct parent. | Query refers to anterior thalamic nucleus group; top1 is the accepted complex (anterior nuclear complex of thalamus). Singular/plural variation does not change the anatomical entity.,,
corpus,Arcuate fasciculus,high_confidence,1.0,HOMBA:10569,arcuate fasciculus,bm25+exact+fuzzy,Arcuate fasciculus,Arcuate fasciculus,,1.0,dorsal fasciculus (column) of spinal cord,0.281916,correct,8,1_highconf_correct.csv,10,aligned,high,1.0,Exact match (case-insensitive) between query and top1_name.,aligned,high,1.0,Exact match (case-insensitive).,aligned,high,1.0,Exact case-insensitive match.,aligned,high,1.0,3/3,False,3-0,stable,Exact match (case-insensitive) between query and top1_name. | Exact match (case-insensitive). | Exact case-insensitive match.,,
corpus,Area 52,high_confidence,1.0,HOMBA:10267,parainsular cortex (area 52),bm25+exact+fuzzy,Area 52,Area 52,,1.0,,,correct,9,1_highconf_correct.csv,11,aligned,high,1.0,Top1 includes query as parenthetical alias; same anatomical structure.,aligned,high,1.0,Synonym match: 'parainsular cortex (area 52)' contains 'Area 52'.,aligned,high,1.0,"Area 52 is parainsular cortex; top1 explicitly includes 'area 52' in name, exact correspondence.",aligned,high,1.0,3/3,False,3-0,stable,"Top1 includes query as parenthetical alias; same anatomical structure. | Synonym match: 'parainsular cortex (area 52)' contains 'Area 52'. | Area 52 is parainsular cortex; top1 explicitly includes 'area 52' in name, exact correspondence.",,
