dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check,review_record_id,source_file,source_row,pass1_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_label,pass3_certainty,pass3_confidence,pass3_reason,final_consistency_label,final_certainty,final_confidence,vote_agreement,has_vote_disagreement,vote_split_pattern,uncertainty_tag,final_reason,_category,_mechanism
corpus,Lateral intraparietal area (dorsal),needs_review,0.612878,HOMBA:12227,"dorsal raphe nucleus, lateral division",bm25+fuzzy,Lateral intraparietal area (dorsal),"dorsal raphe nucleus, lateral division",dorsal;lateral,1.0,"lateral parabrachial nucleus, dorsal division",0.608614,,707,4_unresolved_incorrect.csv,2,wrong,high,0.98,"Query 'Lateral intraparietal area (dorsal)' is anatomically distinct from 'dorsal raphe nucleus, lateral division'; these are different structures.",wrong,high,0.95,Lateral intraparietal area vs dorsal raphe nucleus: completely different regions.,wrong,high,0.98,"Lateral intraparietal area is parietal cortex; top1 is dorsal raphe nucleus (brainstem), completely different structure.",wrong,high,0.97,3/3,False,3-0,stable,"Query 'Lateral intraparietal area (dorsal)' is anatomically distinct from 'dorsal raphe nucleus, lateral division'; these are different structures. | Lateral intraparietal area vs dorsal raphe nucleus: completely different regions. | Lateral intraparietal area is parietal cortex; top1 is dorsal raphe nucleus (brainstem), completely different structure.",B_algo,wrong top-1 (better candidate exists)
corpus,Prefrontal area 46,needs_review,0.629168,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",bm25+fuzzy+hierarchy_parent,Prefrontal area 46,area 46,,1.0,dorsolateral prefrontal cortex,0.609884,,708,4_unresolved_incorrect.csv,3,aligned,medium,0.8,"Top1 includes 'area 46' as an alias and is a division of DFC, consistent with 'Prefrontal area 46'.",aligned,high,0.95,"Top1 includes area 46, consistent with query Prefrontal area 46.",aligned,high,0.95,"Prefrontal area 46 matches; top1 includes 'area 46' as its synonym, same prefrontal region.",aligned,high,0.9,3/3,False,3-0,stable,"Top1 includes 'area 46' as an alias and is a division of DFC, consistent with 'Prefrontal area 46'. | Top1 includes area 46, consistent with query Prefrontal area 46. | Prefrontal area 46 matches; top1 includes 'area 46' as its synonym, same prefrontal region.",D_homba_gap,HOMBA lacks this granularity
corpus,Posterior opercular area POS2,needs_review,0.639186,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,bm25+fuzzy,Posterior opercular area POS2,posterior,posterior,1.0,caudal (posterior) extramural migratory stream,0.639186,,709,4_unresolved_incorrect.csv,4,wrong,high,0.97,"Query 'Posterior opercular area POS2' is a cortical region; top1 'caudal branch of anterior commissure' is a white matter tract, anatomically unrelated.",wrong,high,0.95,Posterior opercular area vs branch of anterior commissure: different structures.,wrong,high,0.98,"Query is a cortical opercular area (POS2); top1 is caudal branch of anterior commissure, a tract, unrelated.",wrong,high,0.9667,3/3,False,3-0,stable,"Query 'Posterior opercular area POS2' is a cortical region; top1 'caudal branch of anterior commissure' is a white matter tract, anatomically unrelated. | Posterior opercular area vs branch of anterior commissure: different structures. | Query is a cortical opercular area (POS2); top1 is caudal branch of anterior commissure, a tract, unrelated.",B_algo,weak/lone-token fuzzy trap
corpus,Ventral intraparietal area,needs_review,0.641675,HOMBA:12261,ventral tegmental area,bm25+fuzzy,Ventral intraparietal area,ventral tegmental area,ventral,1.0,anterior (ventral /principal) pretectal nucleus,0.636541,,710,4_unresolved_incorrect.csv,5,wrong,high,0.95,"Ventral intraparietal area is a parietal region; ventral tegmental area is a midbrain structure, anatomically different.",wrong,high,0.95,"Ventral intraparietal area is a parietal region, but top1 'ventral tegmental area' is a midbrain structure; anatomically distinct.",wrong,high,0.95,"Ventral intraparietal area is a cortical parietal region, while ventral tegmental area is a midbrain structure; anatomically unrelated.",wrong,high,0.95,3/3,False,3-0,stable,"Ventral intraparietal area is a parietal region; ventral tegmental area is a midbrain structure, anatomically different. | Ventral intraparietal area is a parietal region, but top1 'ventral tegmental area' is a midbrain structure; anatomically distinct. | Ventral intraparietal area is a cortical parietal region, while ventral tegmental area is a midbrain structure; anatomically unrelated.",B_algo,weak/lone-token fuzzy trap
corpus,Central opercular cortex (posterior),needs_review,0.646011,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+fuzzy,Central opercular cortex (posterior),posterior frontal cortex,posterior,1.0,medial (caudal) entorhinal cortex,0.632966,,711,4_unresolved_incorrect.csv,6,wrong,high,0.95,"Central opercular cortex (posterior) is in the insular/opercular region; top1 is frontal motor cortex, anatomically different.",wrong,high,0.95,Central opercular cortex (posterior) is not the same as frontal motor cortex; top1 is a different brain region.,wrong,high,0.9,"Central opercular cortex (posterior) is opercular region around central sulcus, not frontal motor cortex; distinct cortical areas.",wrong,high,0.9333,3/3,False,3-0,stable,"Central opercular cortex (posterior) is in the insular/opercular region; top1 is frontal motor cortex, anatomically different. | Central opercular cortex (posterior) is not the same as frontal motor cortex; top1 is a different brain region. | Central opercular cortex (posterior) is opercular region around central sulcus, not frontal motor cortex; distinct cortical areas.",B_algo,LLM re-review: operculum -> frontal motor cortex via lone 'posterior' (weak-token trap)
corpus,Central opercular cortex (anterior),needs_review,0.651574,HOMBA:10318,lateral (rostral) entorhinal cortex,bm25+fuzzy,Central opercular cortex (anterior),lateral (anterior) entorhinal cortex,anterior,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.636614,,712,4_unresolved_incorrect.csv,7,wrong,high,0.95,"Central opercular cortex (anterior) is not entorhinal cortex; entorhinal cortex is in temporal lobe, anatomically wrong.",wrong,high,0.95,Central opercular cortex (anterior) and lateral entorhinal cortex are completely different structures (temporal vs. frontal).,wrong,high,0.98,"Central opercular cortex (anterior) is an opercular region, while lateral (rostral) entorhinal cortex is in medial temporal lobe; completely different.",wrong,high,0.96,3/3,False,3-0,stable,"Central opercular cortex (anterior) is not entorhinal cortex; entorhinal cortex is in temporal lobe, anatomically wrong. | Central opercular cortex (anterior) and lateral entorhinal cortex are completely different structures (temporal vs. frontal). | Central opercular cortex (anterior) is an opercular region, while lateral (rostral) entorhinal cortex is in medial temporal lobe; completely different.",B_algo,wrong top-1 (better candidate exists)
corpus,Parietal area PF,needs_review,0.661335,HOMBA:10226,"rostral division of IPC (IPCr, area 40, area PF)",bm25+fuzzy,Parietal area PF,area PF,,1.0,parietal lobe,0.580856,,713,4_unresolved_incorrect.csv,8,aligned,high,0.95,Parietal area PF matches alias 'area PF' included in top1 name; consistent anatomical structure.,aligned,high,0.95,Top1 includes 'area PF' as a synonym; query 'Parietal area PF' matches exactly to the same anatomical structure.,aligned,high,0.98,Top1 'rostral division of IPC (area PF)' directly names the query's 'Parietal area PF'; accepted synonym/expansion.,aligned,high,0.96,3/3,False,3-0,stable,Parietal area PF matches alias 'area PF' included in top1 name; consistent anatomical structure. | Top1 includes 'area PF' as a synonym; query 'Parietal area PF' matches exactly to the same anatomical structure. | Top1 'rostral division of IPC (area PF)' directly names the query's 'Parietal area PF'; accepted synonym/expansion.,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3a,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3a,somatosensory cortex,,1.0,somatosensory radiation,0.540332,,714,4_unresolved_incorrect.csv,9,broader_parent,high,0.95,"Area 3a is a subdivision of primary somatosensory cortex; top1 names the broader parent including areas 3,1,2.",broader_parent,high,0.95,"Area 3a is a subdivision of primary somatosensory cortex (areas 3,1,2); top1 is the valid parent structure.",broader_parent,high,0.95,"Area 3a is a specific subfield of primary somatosensory cortex; top1 names the entire parent region (areas 3,1,2).",broader_parent,high,0.95,3/3,False,3-0,stable,"Area 3a is a subdivision of primary somatosensory cortex; top1 names the broader parent including areas 3,1,2. | Area 3a is a subdivision of primary somatosensory cortex (areas 3,1,2); top1 is the valid parent structure. | Area 3a is a specific subfield of primary somatosensory cortex; top1 names the entire parent region (areas 3,1,2).",D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3b,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3b,somatosensory cortex,,1.0,somatosensory radiation,0.540332,,715,4_unresolved_incorrect.csv,10,broader_parent,high,0.95,"Query is area 3b, a subdivision of primary somatosensory cortex; top1 correctly names the broader parent structure.",broader_parent,high,1.0,"Query 'Somatosensory area 3b' is a subdivision of area 3; top1 'primary somatosensory cortex' includes area 3b as part of S1, so it is a broader parent.",broader_parent,high,0.95,"Area 3b is a subregion of primary somatosensory cortex (areas 3,1,2), so top1 is the broader anatomical parent.",broader_parent,high,0.9667,3/3,False,3-0,stable,"Query is area 3b, a subdivision of primary somatosensory cortex; top1 correctly names the broader parent structure. | Query 'Somatosensory area 3b' is a subdivision of area 3; top1 'primary somatosensory cortex' includes area 3b as part of S1, so it is a broader parent. | Area 3b is a subregion of primary somatosensory cortex (areas 3,1,2), so top1 is the broader anatomical parent.",D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V3A,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v3a,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.509601,,716,4_unresolved_incorrect.csv,11,wrong,high,0.95,"V3A is an extrastriate visual area, not part of primary visual cortex (area 17).",wrong,high,1.0,"Query 'Visual area V3A' is an extrastriate area, but top1 'primary visual cortex' is V1, a different anatomical structure.",wrong,high,0.99,"V3A is an extrastriate visual area, not primary visual cortex (V1). Anatomically different.",wrong,high,0.98,3/3,False,3-0,stable,"V3A is an extrastriate visual area, not part of primary visual cortex (area 17). | Query 'Visual area V3A' is an extrastriate area, but top1 'primary visual cortex' is V1, a different anatomical structure. | V3A is an extrastriate visual area, not primary visual cortex (V1). Anatomically different.",D_homba_gap,HOMBA lacks this granularity
